epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,validation_macro_f1,epoch_seconds
1,4.406513335800171,0.1812,3.4482020269393923,0.2886,0.27904594776102387,705.5849089622498
2,2.842780033493042,0.3795,3.2806145919799805,0.337,0.32600693418169613,618.3423330783844
3,2.423564710521698,0.451,3.337335414791107,0.3388,0.3324179763707605,629.9852018356323
4,2.1706040997028353,0.4957,3.326525162410736,0.3502,0.34055860818978795,611.6365299224854
5,1.984442863702774,0.5272,3.3794662855148316,0.3522,0.3449658802956341,614.0684359073639
