class_label,precision,recall,f1,support
200,0.25,0.2,0.2222222222222222,10
201,0.1111111111111111,0.1,0.10526315789473684,10
202,0.0,0.0,0.0,10
203,0.0,0.0,0.0,10
204,0.0,0.0,0.0,10
205,0.0,0.0,0.0,10
206,0.0,0.0,0.0,10
207,0.0,0.0,0.0,10
208,0.0,0.0,0.0,10
209,0.0,0.0,0.0,10
210,0.0,0.0,0.0,10
211,0.0,0.0,0.0,10
212,0.0,0.0,0.0,10
213,0.0,0.0,0.0,10
214,0.0,0.0,0.0,10
215,0.0,0.0,0.0,10
216,0.0,0.0,0.0,10
217,0.0,0.0,0.0,10
218,0.0,0.0,0.0,10
219,0.041666666666666664,0.1,0.058823529411764705,10
220,0.13333333333333333,0.2,0.16,10
221,0.0,0.0,0.0,10
222,0.0,0.0,0.0,10
223,0.0,0.0,0.0,10
224,0.0,0.0,0.0,10
225,0.0,0.0,0.0,10
226,0.0,0.0,0.0,10
227,0.0,0.0,0.0,10
228,0.0,0.0,0.0,10
229,0.3,0.3,0.3,10
230,0.0,0.0,0.0,10
231,0.0,0.0,0.0,10
232,0.0,0.0,0.0,10
233,0.0,0.0,0.0,10
234,0.05263157894736842,0.1,0.06896551724137931,10
235,0.1111111111111111,0.1,0.10526315789473684,10
236,0.0,0.0,0.0,10
237,0.0,0.0,0.0,10
238,0.0,0.0,0.0,10
239,0.0,0.0,0.0,10
240,0.03333333333333333,0.1,0.05,10
241,0.0,0.0,0.0,10
242,0.0,0.0,0.0,10
243,0.0,0.0,0.0,10
244,0.0,0.0,0.0,10
245,0.0,0.0,0.0,10
246,0.1111111111111111,0.1,0.10526315789473684,10
247,0.0,0.0,0.0,10
248,0.045454545454545456,0.1,0.0625,10
249,0.0,0.0,0.0,10
250,0.1111111111111111,0.2,0.14285714285714285,10
251,0.15384615384615385,0.2,0.17391304347826086,10
252,0.0,0.0,0.0,10
253,0.0,0.0,0.0,10
254,0.0,0.0,0.0,10
255,0.0,0.0,0.0,10
256,0.0,0.0,0.0,10
257,0.5,0.1,0.16666666666666666,10
258,0.03333333333333333,0.1,0.05,10
259,0.0,0.0,0.0,10
260,0.0,0.0,0.0,10
261,0.18181818181818182,0.2,0.19047619047619047,10
262,0.0,0.0,0.0,10
263,0.75,0.3,0.42857142857142855,10
264,0.05555555555555555,0.1,0.07142857142857142,10
265,0.125,0.1,0.1111111111111111,10
266,0.07142857142857142,0.1,0.08333333333333333,10
267,0.05263157894736842,0.1,0.06896551724137931,10
268,0.0,0.0,0.0,10
269,0.0,0.0,0.0,10
270,0.09090909090909091,0.1,0.09523809523809523,10
271,0.5,0.1,0.16666666666666666,10
272,0.11428571428571428,0.4,0.17777777777777778,10
273,0.0,0.0,0.0,10
274,0.0,0.0,0.0,10
275,0.0,0.0,0.0,10
276,0.0,0.0,0.0,10
277,0.0,0.0,0.0,10
278,0.0,0.0,0.0,10
279,0.0,0.0,0.0,10
280,0.1,0.1,0.1,10
281,0.06666666666666667,0.1,0.08,10
282,0.16666666666666666,0.1,0.125,10
283,0.18181818181818182,0.2,0.19047619047619047,10
284,0.45454545454545453,0.5,0.47619047619047616,10
285,0.0,0.0,0.0,10
286,0.0,0.0,0.0,10
287,0.125,0.1,0.1111111111111111,10
288,0.4,0.4,0.4,10
289,0.12,0.3,0.17142857142857143,10
290,0.07407407407407407,0.2,0.10810810810810811,10
291,0.0967741935483871,0.3,0.14634146341463414,10
292,0.017857142857142856,0.1,0.030303030303030304,10
293,0.016666666666666666,0.2,0.03076923076923077,10
294,0.14285714285714285,0.2,0.16666666666666666,10
295,0.125,0.3,0.17647058823529413,10
296,0.125,0.1,0.1111111111111111,10
297,0.05263157894736842,0.1,0.06896551724137931,10
298,0.08333333333333333,0.4,0.13793103448275862,10
299,0.3076923076923077,0.4,0.34782608695652173,10
300,0.2,0.1,0.13333333333333333,10
301,0.02857142857142857,0.2,0.05,10
302,0.08333333333333333,0.1,0.09090909090909091,10
303,0.19047619047619047,0.4,0.25806451612903225,10
304,0.046875,0.3,0.08108108108108109,10
305,0.0,0.0,0.0,10
306,0.0,0.0,0.0,10
307,0.5,0.1,0.16666666666666666,10
308,0.0,0.0,0.0,10
309,0.16666666666666666,0.1,0.125,10
310,0.16666666666666666,0.1,0.125,10
311,0.0,0.0,0.0,10
312,0.0,0.0,0.0,10
313,0.0,0.0,0.0,10
314,0.045454545454545456,0.1,0.0625,10
315,0.0,0.0,0.0,10
316,0.0,0.0,0.0,10
317,0.16666666666666666,0.1,0.125,10
318,0.25,0.1,0.14285714285714285,10
319,0.2727272727272727,0.3,0.2857142857142857,10
320,0.0,0.0,0.0,10
321,0.16666666666666666,0.3,0.21428571428571427,10
322,0.0,0.0,0.0,10
323,0.0,0.0,0.0,10
324,0.3333333333333333,0.5,0.4,10
325,1.0,0.1,0.18181818181818182,10
326,0.0,0.0,0.0,10
327,0.13333333333333333,0.2,0.16,10
328,0.09090909090909091,0.1,0.09523809523809523,10
329,0.25,0.3,0.2727272727272727,10
330,0.5454545454545454,0.6,0.5714285714285714,10
331,0.5,0.3,0.375,10
332,0.0,0.0,0.0,10
333,0.0,0.0,0.0,10
334,0.08333333333333333,0.1,0.09090909090909091,10
335,0.6,0.3,0.4,10
336,0.25,0.2,0.2222222222222222,10
337,0.15384615384615385,0.2,0.17391304347826086,10
338,0.0,0.0,0.0,10
339,0.058823529411764705,0.1,0.07407407407407407,10
340,0.0,0.0,0.0,10
341,0.07142857142857142,0.1,0.08333333333333333,10
342,0.0,0.0,0.0,10
343,0.0,0.0,0.0,10
344,0.030303030303030304,0.1,0.046511627906976744,10
345,0.0,0.0,0.0,10
346,0.0,0.0,0.0,10
347,0.0,0.0,0.0,10
348,0.0,0.0,0.0,10
349,0.21428571428571427,0.3,0.25,10
350,0.2,0.2,0.2,10
351,0.2222222222222222,0.2,0.21052631578947367,10
352,0.0,0.0,0.0,10
353,0.42857142857142855,0.3,0.35294117647058826,10
354,0.13333333333333333,0.2,0.16,10
355,0.05555555555555555,0.1,0.07142857142857142,10
356,0.0,0.0,0.0,10
357,0.0,0.0,0.0,10
358,0.0,0.0,0.0,10
359,0.0,0.0,0.0,10
360,0.5,0.1,0.16666666666666666,10
361,0.2857142857142857,0.2,0.23529411764705882,10
362,0.75,0.3,0.42857142857142855,10
363,0.0,0.0,0.0,10
364,0.0,0.0,0.0,10
365,0.0,0.0,0.0,10
366,0.0,0.0,0.0,10
367,0.0,0.0,0.0,10
368,0.2,0.1,0.13333333333333333,10
369,0.07142857142857142,0.1,0.08333333333333333,10
370,0.0,0.0,0.0,10
371,0.0,0.0,0.0,10
372,0.0,0.0,0.0,10
373,0.0,0.0,0.0,10
374,0.05555555555555555,0.2,0.08695652173913043,10
375,0.4444444444444444,0.4,0.42105263157894735,10
376,0.3333333333333333,0.2,0.25,10
377,0.07407407407407407,0.2,0.10810810810810811,10
378,0.0,0.0,0.0,10
379,0.1,0.2,0.13333333333333333,10
380,0.0,0.0,0.0,10
381,0.0,0.0,0.0,10
382,0.21428571428571427,0.3,0.25,10
383,0.0,0.0,0.0,10
384,0.0,0.0,0.0,10
385,0.0,0.0,0.0,10
386,0.4,0.2,0.26666666666666666,10
387,0.1,0.2,0.13333333333333333,10
388,0.0,0.0,0.0,10
389,0.1111111111111111,0.1,0.10526315789473684,10
390,0.0,0.0,0.0,10
391,0.4,0.2,0.26666666666666666,10
392,0.0,0.0,0.0,10
393,0.16666666666666666,0.1,0.125,10
394,0.0,0.0,0.0,10
395,0.2222222222222222,0.2,0.21052631578947367,10
396,0.12,0.3,0.17142857142857143,10
397,0.041666666666666664,0.1,0.058823529411764705,10
398,0.2,0.2,0.2,10
399,0.0,0.0,0.0,10
400,0.2,0.1,0.13333333333333333,10
401,0.0,0.0,0.0,10
402,0.3333333333333333,0.1,0.15384615384615385,10
403,0.16666666666666666,0.1,0.125,10
404,0.0,0.0,0.0,10
405,0.1,0.1,0.1,10
406,0.047619047619047616,0.1,0.06451612903225806,10
407,0.0625,0.1,0.07692307692307693,10
408,0.0,0.0,0.0,10
409,0.2,0.4,0.26666666666666666,10
410,0.0,0.0,0.0,10
411,0.0,0.0,0.0,10
412,0.09090909090909091,0.1,0.09523809523809523,10
413,0.0,0.0,0.0,10
414,0.3333333333333333,0.1,0.15384615384615385,10
415,0.4,0.2,0.26666666666666666,10
416,0.13333333333333333,0.2,0.16,10
417,0.75,0.3,0.42857142857142855,10
418,0.3333333333333333,0.1,0.15384615384615385,10
419,0.0,0.0,0.0,10
420,0.010869565217391304,0.1,0.0196078431372549,10
421,0.3333333333333333,0.2,0.25,10
422,0.0,0.0,0.0,10
423,0.0,0.0,0.0,10
424,0.0,0.0,0.0,10
425,0.0,0.0,0.0,10
426,0.14285714285714285,0.3,0.1935483870967742,10
427,0.0,0.0,0.0,10
428,0.0,0.0,0.0,10
429,0.125,0.1,0.1111111111111111,10
430,0.5,0.2,0.2857142857142857,10
431,0.0,0.0,0.0,10
432,0.3333333333333333,0.4,0.36363636363636365,10
433,0.0,0.0,0.0,10
434,0.0,0.0,0.0,10
435,0.5,0.2,0.2857142857142857,10
436,0.0625,0.2,0.09523809523809523,10
437,0.0,0.0,0.0,10
438,0.0,0.0,0.0,10
439,0.0,0.0,0.0,10
440,0.14285714285714285,0.1,0.11764705882352941,10
441,0.6666666666666666,0.2,0.3076923076923077,10
442,0.0,0.0,0.0,10
443,0.0,0.0,0.0,10
444,0.0,0.0,0.0,10
445,0.0,0.0,0.0,10
446,0.037037037037037035,0.1,0.05405405405405406,10
447,0.0,0.0,0.0,10
448,0.0,0.0,0.0,10
449,0.12121212121212122,0.4,0.18604651162790697,10
450,0.0,0.0,0.0,10
451,0.0,0.0,0.0,10
452,0.0,0.0,0.0,10
453,0.0,0.0,0.0,10
454,0.1,0.1,0.1,10
455,0.07142857142857142,0.1,0.08333333333333333,10
456,0.2,0.4,0.26666666666666666,10
457,0.16666666666666666,0.1,0.125,10
458,0.10344827586206896,0.3,0.15384615384615385,10
459,0.0,0.0,0.0,10
460,0.125,0.1,0.1111111111111111,10
461,0.0,0.0,0.0,10
462,0.0,0.0,0.0,10
463,0.04,0.1,0.05714285714285714,10
464,0.5,0.1,0.16666666666666666,10
465,0.0,0.0,0.0,10
466,0.0,0.0,0.0,10
467,0.14285714285714285,0.1,0.11764705882352941,10
468,0.14285714285714285,0.1,0.11764705882352941,10
469,0.0,0.0,0.0,10
470,0.16666666666666666,0.2,0.18181818181818182,10
471,0.16666666666666666,0.2,0.18181818181818182,10
472,0.0,0.0,0.0,10
473,0.0,0.0,0.0,10
474,0.14285714285714285,0.1,0.11764705882352941,10
475,0.0,0.0,0.0,10
476,0.05128205128205128,0.2,0.08163265306122448,10
477,0.0,0.0,0.0,10
478,0.16666666666666666,0.2,0.18181818181818182,10
479,0.06060606060606061,0.2,0.09302325581395349,10
480,0.06451612903225806,0.2,0.0975609756097561,10
481,0.125,0.2,0.15384615384615385,10
482,0.125,0.1,0.1111111111111111,10
483,0.0,0.0,0.0,10
484,0.0,0.0,0.0,10
485,0.0,0.0,0.0,10
486,0.0,0.0,0.0,10
487,0.08,0.2,0.11428571428571428,10
488,0.42857142857142855,0.3,0.35294117647058826,10
489,0.0,0.0,0.0,10
490,0.25,0.2,0.2222222222222222,10
491,0.0,0.0,0.0,10
492,0.5,0.2,0.2857142857142857,10
493,0.06666666666666667,0.2,0.1,10
494,0.6,0.3,0.4,10
495,0.23076923076923078,0.3,0.2608695652173913,10
496,0.15384615384615385,0.2,0.17391304347826086,10
497,0.0,0.0,0.0,10
498,0.3157894736842105,0.6,0.41379310344827586,10
499,0.05714285714285714,0.2,0.08888888888888889,10
