class_index,species_name,precision,recall,f1,support,correct_predictions
92,Phlogophora periculosa,0.25,0.2,0.2222222222222222,10,2
93,Psychomorpha epimenis,0.2777777777777778,0.5,0.35714285714285715,10,5
94,Macrurocampa marthesia,0.2,0.1,0.13333333333333333,10,1
95,Pheosidea elegans,0.4117647058823529,0.7,0.5185185185185185,10,7
96,Aglais urticae,1.0,0.4,0.5714285714285714,10,4
97,Anartia fatima,0.3333333333333333,0.2,0.25,10,2
98,Asterocampa clyton,0.2857142857142857,0.2,0.23529411764705882,10,2
99,Boloria chariclea,0.4444444444444444,0.4,0.42105263157894735,10,4
100,Cyllopsis gemma,0.2727272727272727,0.3,0.2857142857142857,10,3
101,Danaus eresimus,0.6666666666666666,0.8,0.7272727272727273,10,8
102,Danaus plexippus,0.3,0.3,0.3,10,3
103,Historis odius,0.3333333333333333,0.4,0.36363636363636365,10,4
104,Junonia lemonias,0.6666666666666666,0.4,0.5,10,4
105,Junonia oenone,0.6666666666666666,0.4,0.5,10,4
106,Junonia villida,0.13333333333333333,0.2,0.16,10,2
107,Pyronia cecilia,0.25,0.4,0.3076923076923077,10,4
108,Tisiphone abeona,0.625,0.5,0.5555555555555556,10,5
109,Parnassius smintheus,0.4,0.2,0.26666666666666666,10,2
110,Abaeis nicippe,0.25,0.2,0.2222222222222222,10,2
111,Catopsilia pomona,0.5,0.5,0.5,10,5
112,Mylothris agathina,0.75,0.6,0.6666666666666666,10,6
113,Pareronia hippia,0.6666666666666666,0.6,0.631578947368421,10,6
114,Pyrisitia lisa,0.2222222222222222,0.2,0.21052631578947367,10,2
115,Hamearis lucina,0.6,0.3,0.4,10,3
116,Melanis cephise,0.6363636363636364,0.7,0.6666666666666666,10,7
117,Saturnia pyri,0.2857142857142857,0.2,0.23529411764705882,10,2
118,Synanthedon acerni,0.4,0.4,0.4,10,4
119,Hyles gallii,0.1,0.1,0.1,10,1
120,Syricoris lacunana,0.375,0.3,0.3333333333333333,10,3
121,Pseudomantis albofimbriata,0.1111111111111111,0.1,0.10526315789473684,10,1
122,Stagmomantis carolina,0.0,0.0,0.0,10,0
123,Corydalus cornutus,0.14285714285714285,0.1,0.11764705882352941,10,1
124,Agriocnemis femina,0.38095238095238093,0.8,0.5161290322580645,10,8
125,Epitheca princeps,0.0,0.0,0.0,10,0
126,Dromogomphus spoliatus,0.375,0.3,0.3333333333333333,10,3
127,Stylogomphus albistylus,0.0,0.0,0.0,10,0
128,Libellula axilena,0.3333333333333333,0.3,0.3157894736842105,10,3
129,Orthetrum brunneum,0.0,0.0,0.0,10,0
130,Orthetrum chrysostigma,0.25,0.2,0.2222222222222222,10,2
131,Pachydiplax longipennis,0.25,0.1,0.14285714285714285,10,1
132,Palpopleura lucia,0.1875,0.3,0.23076923076923078,10,3
133,Tramea lacerata,0.16666666666666666,0.1,0.125,10,1
134,Trithemis festiva,0.5384615384615384,0.7,0.6086956521739131,10,7
135,Tachopteryx thoreyi,0.23076923076923078,0.3,0.2608695652173913,10,3
136,Chrysochraon dispar,0.14285714285714285,0.2,0.16666666666666666,10,2
137,Leptysma marginicollis,0.3333333333333333,0.3,0.3157894736842105,10,3
138,Mermiria bivittata,0.07142857142857142,0.1,0.08333333333333333,10,1
139,Gryllus campestris,0.16666666666666666,0.2,0.18181818181818182,10,2
140,Gryllus pennsylvanicus,0.16666666666666666,0.2,0.18181818181818182,10,2
141,Tropidacris collaris,0.0,0.0,0.0,10,0
142,Anabrus simplex,0.2,0.1,0.13333333333333333,10,1
143,Neoconocephalus triops,0.3,0.3,0.3,10,3
144,Cerastipsocus venosus,0.0,0.0,0.0,10,0
145,Cancer irroratus,0.0,0.0,0.0,10,0
146,Leptuca pugilator,0.23076923076923078,0.3,0.2608695652173913,10,3
147,Megalops atlanticus,0.25,0.3,0.2727272727272727,10,3
148,Lepomis gulosus,0.5555555555555556,0.5,0.5263157894736842,10,5
149,Schuettea scalaripinnis,0.5833333333333334,0.7,0.6363636363636364,10,7
150,Oncorhynchus mykiss,0.09090909090909091,0.1,0.09523809523809523,10,1
151,Dicotylichthys punctulatus,0.18181818181818182,0.2,0.19047619047619047,10,2
152,Diodon hystrix,0.4444444444444444,0.4,0.42105263157894735,10,4
153,Tetractenos glaber,0.26666666666666666,0.4,0.32,10,4
154,Hyperolius marmoratus,0.0,0.0,0.0,10,0
155,Rana draytonii,0.0,0.0,0.0,10,0
156,Accipiter badius,0.0,0.0,0.0,10,0
157,Accipiter nisus,0.0,0.0,0.0,10,0
158,Accipiter trivirgatus,0.14285714285714285,0.1,0.11764705882352941,10,1
159,Aquila chrysaetos,0.08333333333333333,0.1,0.09090909090909091,10,1
160,Chondrohierax uncinatus,0.0,0.0,0.0,10,0
161,Circus approximans,0.1,0.2,0.13333333333333333,10,2
162,Elanus axillaris,0.0,0.0,0.0,10,0
163,Haliastur indus,0.2,0.3,0.24,10,3
164,Branta leucopsis,0.4166666666666667,0.5,0.45454545454545453,10,5
165,Melanitta deglandi,0.0,0.0,0.0,10,0
166,Melanitta perspicillata,0.25,0.4,0.3076923076923077,10,4
167,Netta peposaca,0.3076923076923077,0.4,0.34782608695652173,10,4
168,Spatula cyanoptera,0.5,0.7,0.5833333333333334,10,7
169,Nyctibius griseus,0.2,0.2,0.2,10,2
170,Sarcoramphus papa,0.1,0.1,0.1,10,1
171,Burhinus grallarius,0.18181818181818182,0.2,0.19047619047619047,10,2
172,Sterna hirundo,0.14285714285714285,0.1,0.11764705882352941,10,1
173,Himantopus himantopus,0.18181818181818182,0.2,0.19047619047619047,10,2
174,Himantopus mexicanus,0.0,0.0,0.0,10,0
175,Arenaria melanocephala,0.16666666666666666,0.2,0.18181818181818182,10,2
176,Calidris canutus,0.2727272727272727,0.3,0.2857142857142857,10,3
177,Calidris virgata,0.06666666666666667,0.1,0.08,10,1
178,Phalaropus fulicarius,0.18181818181818182,0.2,0.19047619047619047,10,2
179,Tringa melanoleuca,0.16666666666666666,0.1,0.125,10,1
180,Anastomus oscitans,0.25,0.1,0.14285714285714285,10,1
181,Ciconia ciconia,0.4,0.4,0.4,10,4
182,Mycteria leucocephala,0.3333333333333333,0.1,0.15384615384615385,10,1
183,Patagioenas cayennensis,0.047619047619047616,0.1,0.06451612903225806,10,1
184,Coracias garrulus,0.1111111111111111,0.1,0.10526315789473684,10,1
185,Coccyzus americanus,0.14285714285714285,0.2,0.16666666666666666,10,2
186,Caracara plancus,0.3,0.3,0.3,10,3
187,Falco mexicanus,0.2,0.2,0.2,10,2
188,Herpetotheres cachinnans,0.16666666666666666,0.1,0.125,10,1
189,Galbula ruficauda,0.375,0.3,0.3333333333333333,10,3
190,Gavia stellata,0.625,0.5,0.5555555555555556,10,5
191,Amaurornis phoenicurus,0.0,0.0,0.0,10,0
192,Fulica armillata,0.42857142857142855,0.6,0.5,10,6
193,Gerygone igata,0.0,0.0,0.0,10,0
194,Sericornis frontalis,0.14285714285714285,0.2,0.16666666666666666,10,2
195,Certhia americana,0.26666666666666666,0.4,0.32,10,4
196,Cisticola exilis,0.26666666666666666,0.4,0.32,10,4
197,Corvus caurinus,0.26666666666666666,0.4,0.32,10,4
198,Corvus cornix,0.0,0.0,0.0,10,0
199,Nucifraga caryocatactes,0.0,0.0,0.0,10,0
200,Carpodacus sibiricus,0.45454545454545453,0.5,0.47619047619047616,10,5
201,Coccothraustes coccothraustes,0.14285714285714285,0.1,0.11764705882352941,10,1
202,Hirundo neoxena,0.14285714285714285,0.1,0.11764705882352941,10,1
203,Petrochelidon pyrrhonota,0.0,0.0,0.0,10,0
204,Dives dives,0.18181818181818182,0.2,0.19047619047619047,10,2
205,Icterus chrysater,0.35,0.7,0.4666666666666667,10,7
206,Quiscalus mexicanus,0.2,0.2,0.2,10,2
207,Lanius excubitor,0.14285714285714285,0.3,0.1935483870967742,10,3
208,Acanthorhynchus tenuirostris,0.4,0.2,0.26666666666666666,10,2
209,Oreoscoptes montanus,0.2222222222222222,0.4,0.2857142857142857,10,4
210,Luscinia luscinia,0.3125,0.5,0.38461538461538464,10,5
211,Aethopyga siparaja,0.4444444444444444,0.4,0.42105263157894735,10,4
212,Cinnyris jugularis,0.5,0.3,0.375,10,3
213,Hedydipna collaris,0.25,0.2,0.2222222222222222,10,2
214,Leptocoma zeylonica,0.2,0.2,0.2,10,2
215,Lophophanes cristatus,0.3333333333333333,0.1,0.15384615384615385,10,1
216,Poecile hudsonicus,0.0,0.0,0.0,10,0
217,Parkesia motacilla,0.2857142857142857,0.2,0.23529411764705882,10,2
218,Setophaga americana,0.3333333333333333,0.4,0.36363636363636365,10,4
219,Setophaga dominica,0.25,0.2,0.2222222222222222,10,2
220,Setophaga virens,0.375,0.3,0.3333333333333333,10,3
221,Ammodramus savannarum,0.45454545454545453,0.5,0.47619047619047616,10,5
222,Peucaea carpalis,0.5,0.2,0.2857142857142857,10,2
223,Pipilo maculatus,0.25,0.3,0.2727272727272727,10,3
224,Pycnonotus goiavier,0.125,0.1,0.1111111111111111,10,1
225,Myadestes townsendi,0.14285714285714285,0.1,0.11764705882352941,10,1
226,Turdus fuscater,0.25,0.2,0.2222222222222222,10,2
227,Turdus viscivorus,0.3333333333333333,0.2,0.25,10,2
228,Empidonax occidentalis,0.2,0.1,0.13333333333333333,10,1
229,Myiarchus tuberculifer,0.05555555555555555,0.1,0.07142857142857142,10,1
230,Sayornis saya,0.2,0.1,0.13333333333333333,10,1
231,Tyrannus savana,0.07142857142857142,0.1,0.08333333333333333,10,1
232,Vireo bellii,0.125,0.1,0.1111111111111111,10,1
233,Vireo flavoviridis,0.2,0.2,0.2,10,2
234,Vireo huttoni,0.0,0.0,0.0,10,0
235,Vireo solitarius,0.14285714285714285,0.1,0.11764705882352941,10,1
236,Zosterops lateralis,0.25,0.1,0.14285714285714285,10,1
237,Butorides virescens,0.0,0.0,0.0,10,0
238,Egretta garzetta,0.18181818181818182,0.2,0.19047619047619047,10,2
239,Nycticorax nycticorax,0.0,0.0,0.0,10,0
240,Psilopogon haemacephalus,0.2857142857142857,0.4,0.3333333333333333,10,4
241,Picus viridis,0.09090909090909091,0.1,0.09523809523809523,10,1
242,Ara ararauna,0.25,0.3,0.2727272727272727,10,3
243,Trichoglossus moluccanus,0.6363636363636364,0.7,0.6666666666666666,10,7
244,Glaucidium gnoma,0.14285714285714285,0.1,0.11764705882352941,10,1
245,Megascops choliba,0.16666666666666666,0.1,0.125,10,1
246,Strix aluco,0.0,0.0,0.0,10,0
247,Tyto alba,0.0,0.0,0.0,10,0
248,Struthio camelus,0.23529411764705882,0.4,0.2962962962962963,10,4
249,Anhinga anhinga,0.18181818181818182,0.2,0.19047619047619047,10,2
250,Phalacrocorax aristotelis,0.3,0.3,0.3,10,3
251,Aepyceros melampus,0.36363636363636365,0.4,0.38095238095238093,10,4
252,Cervus canadensis,0.2222222222222222,0.4,0.2857142857142857,10,4
253,Canis familiaris,0.125,0.1,0.1111111111111111,10,1
254,Lycalopex culpaeus,0.0,0.0,0.0,10,0
255,Mustela nivalis,0.0,0.0,0.0,10,0
256,Trichosurus vulpecula,0.13333333333333333,0.2,0.16,10,2
257,Ondatra zibethicus,0.3333333333333333,0.2,0.25,10,2
258,Myocastor coypus,0.1875,0.3,0.23076923076923078,10,3
259,Sciurus carolinensis,0.0,0.0,0.0,10,0
260,Crocodylus acutus,0.2857142857142857,0.4,0.3333333333333333,10,4
261,Charina bottae,0.36363636363636365,0.4,0.38095238095238093,10,4
262,Dendrelaphis punctulatus,0.15,0.3,0.2,10,3
263,Hypsiglena jani,0.1111111111111111,0.1,0.10526315789473684,10,1
264,Lampropeltis gentilis,0.5,0.6,0.5454545454545454,10,6
265,Masticophis mentovarius,0.2222222222222222,0.2,0.21052631578947367,10,2
266,Regina septemvittata,0.0,0.0,0.0,10,0
267,Cordylus niger,0.1875,0.3,0.23076923076923078,10,3
268,Christinus marmoratus,0.0,0.0,0.0,10,0
269,Phrynosoma hernandesi,0.08,0.2,0.11428571428571428,10,2
270,Sceloporus jarrovii,0.25,0.3,0.2727272727272727,10,3
271,Tarentola mauritanica,0.375,0.3,0.3333333333333333,10,3
272,Trachylepis margaritifera,0.08333333333333333,0.1,0.09090909090909091,10,1
273,Agkistrodon contortrix,0.0,0.0,0.0,10,0
274,Clemmys guttata,0.14285714285714285,0.1,0.11764705882352941,10,1
275,Emydoidea blandingii,0.16666666666666666,0.2,0.18181818181818182,10,2
276,Graptemys ouachitensis,0.42857142857142855,0.3,0.35294117647058826,10,3
277,Pseudemys nelsoni,0.21052631578947367,0.4,0.27586206896551724,10,4
278,Mauremys leprosa,0.0,0.0,0.0,10,0
279,Testudo graeca,0.3333333333333333,0.5,0.4,10,5
280,Isactinia olivacea,0.25,0.4,0.3076923076923077,10,4
281,Urticina grebelnyi,0.6363636363636364,0.7,0.6666666666666666,10,7
282,Cominella adspersa,0.3,0.3,0.3,10,3
283,Aphelodoris varia,0.25,0.2,0.2222222222222222,10,2
284,Pteraeolidia ianthina,0.4666666666666667,0.7,0.56,10,7
285,Haplotrema vancouverense,0.5,0.6,0.5454545454545454,10,6
286,Megastraea undosa,0.2,0.1,0.13333333333333333,10,1
287,Flavopunctelia flaventior,0.375,0.3,0.3333333333333333,10,3
288,Letharia vulpina,0.375,0.6,0.46153846153846156,10,6
289,Ramalina menziesii,0.2857142857142857,0.4,0.3333333333333333,10,4
290,Xanthomendoza fallax,0.4,0.4,0.4,10,4
291,Urnula craterium,0.4117647058823529,0.7,0.5185185185185185,10,7
292,Amanita fulva,0.4,0.2,0.26666666666666666,10,2
293,Laccaria amethystina,0.625,0.5,0.5555555555555556,10,5
294,Mycena pura,0.5,0.4,0.4444444444444444,10,4
295,Volvopluteus gloiocephalus,0.5555555555555556,0.5,0.5263157894736842,10,5
296,Psathyrella candolleana,0.35714285714285715,0.5,0.4166666666666667,10,5
297,Schizophyllum commune,0.125,0.1,0.1111111111111111,10,1
298,Suillus luteus,0.45454545454545453,0.5,0.47619047619047616,10,5
299,Inonotus obliquus,0.7272727272727273,0.8,0.7619047619047619,10,8
300,Phaeolus schweinitzii,0.5384615384615384,0.7,0.6086956521739131,10,7
301,Calocera viscosa,0.6666666666666666,0.8,0.7272727272727273,10,8
302,Tremella mesenterica,0.4117647058823529,0.7,0.5185185185185185,10,7
303,Neckera pennata,0.5384615384615384,0.7,0.6086956521739131,10,7
304,Arum italicum,0.45454545454545453,0.5,0.47619047619047616,10,5
305,Peltandra virginica,0.2,0.3,0.24,10,3
306,Triantha glutinosa,0.2,0.2,0.2,10,2
307,Narcissus poeticus,0.5555555555555556,0.5,0.5263157894736842,10,5
308,Asparagus officinalis,0.125,0.1,0.1111111111111111,10,1
309,Ruscus aculeatus,0.3333333333333333,0.3,0.3157894736842105,10,3
310,Triteleia hyacinthina,0.5384615384615384,0.7,0.6086956521739131,10,7
311,Asphodelus fistulosus,0.3333333333333333,0.4,0.36363636363636365,10,4
312,Iris douglasiana,0.375,0.6,0.46153846153846156,10,6
313,Iris sibirica,0.4444444444444444,0.4,0.42105263157894735,10,4
314,Iris versicolor,0.3333333333333333,0.2,0.25,10,2
315,Liparis loeselii,0.125,0.1,0.1111111111111111,10,1
316,Neottia nidus-avis,0.5714285714285714,0.8,0.6666666666666666,10,8
317,Orchis anthropophora,0.25,0.1,0.14285714285714285,10,1
318,Pontederia cordata,0.2727272727272727,0.3,0.2857142857142857,10,3
319,Gloriosa superba,0.4166666666666667,0.5,0.45454545454545453,10,5
320,Trillium luteum,0.46153846153846156,0.6,0.5217391304347826,10,6
321,Veratrum viride,0.18181818181818182,0.2,0.19047619047619047,10,2
322,Ripogonum scandens,0.0,0.0,0.0,10,0
323,Smilax herbacea,0.0,0.0,0.0,10,0
324,Pandanus tectorius,0.3125,0.5,0.38461538461538464,10,5
325,Tillandsia recurvata,0.16666666666666666,0.1,0.125,10,1
326,Carex magellanica,0.16666666666666666,0.2,0.18181818181818182,10,2
327,Carex squarrosa,0.3157894736842105,0.6,0.41379310344827586,10,6
328,Juncus acutus,0.42105263157894735,0.8,0.5517241379310345,10,8
329,Juncus torreyi,0.4444444444444444,0.4,0.42105263157894735,10,4
330,Microstegium vimineum,0.4,0.4,0.4,10,4
331,Angelica capitellata,0.3333333333333333,0.4,0.36363636363636365,10,4
332,Anthriscus caucalis,0.18181818181818182,0.2,0.19047619047619047,10,2
333,Pimpinella saxifraga,0.1111111111111111,0.1,0.10526315789473684,10,1
334,Scandix pecten-veneris,0.3,0.3,0.3,10,3
335,Torilis japonica,0.14285714285714285,0.1,0.11764705882352941,10,1
336,Aralia elata,0.1111111111111111,0.1,0.10526315789473684,10,1
337,Schefflera digitata,0.13333333333333333,0.2,0.16,10,2
338,Griselinia littoralis,0.2727272727272727,0.3,0.2857142857142857,10,3
339,Achyrachaena mollis,0.5555555555555556,0.5,0.5263157894736842,10,5
340,Adenophyllum porophylloides,0.36363636363636365,0.4,0.38095238095238093,10,4
341,Antennaria neglecta,0.35714285714285715,0.5,0.4166666666666667,10,5
342,Bellis perennis,0.5384615384615384,0.7,0.6086956521739131,10,7
343,Bidens frondosa,0.23076923076923078,0.3,0.2608695652173913,10,3
344,Carduus acanthoides,0.4375,0.7,0.5384615384615384,10,7
345,Chaenactis glabriuscula,0.375,0.3,0.3333333333333333,10,3
346,Cyanthillium cinereum,0.42857142857142855,0.3,0.35294117647058826,10,3
347,Dittrichia graveolens,0.2727272727272727,0.3,0.2857142857142857,10,3
348,Elephantopus tomentosus,0.5833333333333334,0.7,0.6363636363636364,10,7
349,Eupatorium rotundifolium,0.6666666666666666,0.4,0.5,10,4
350,Layia glandulosa,0.7272727272727273,0.8,0.7619047619047619,10,8
351,Leptosyne maritima,0.23076923076923078,0.3,0.2608695652173913,10,3
352,Malacothrix saxatilis,0.875,0.7,0.7777777777777778,10,7
353,Ozothamnus leptophyllus,0.21428571428571427,0.3,0.25,10,3
354,Packera obovata,0.5714285714285714,0.4,0.47058823529411764,10,4
355,Parthenium incanum,0.5384615384615384,0.7,0.6086956521739131,10,7
356,Petasites hybridus,0.5454545454545454,0.6,0.5714285714285714,10,6
357,Peucephyllum schottii,0.17391304347826086,0.4,0.24242424242424243,10,4
358,Pityopsis falcata,0.5454545454545454,0.6,0.5714285714285714,10,6
359,Solidago speciosa,0.2727272727272727,0.3,0.2857142857142857,10,3
360,Symphyotrichum cordifolium,0.3333333333333333,0.4,0.36363636363636365,10,4
361,Tetraneuris linearifolia,0.4444444444444444,0.4,0.42105263157894735,10,4
362,Thelesperma filifolium,0.7,0.7,0.7,10,7
363,Verbesina encelioides,0.4,0.4,0.4,10,4
364,Vernonia gigantea,0.8888888888888888,0.8,0.8421052631578947,10,8
365,Scaevola plumieri,0.4,0.4,0.4,10,4
366,Nephrophyllidium crista-galli,0.2857142857142857,0.2,0.23529411764705882,10,2
367,Eriodictyon crassifolium,0.3,0.3,0.3,10,3
368,Hackelia virginiana,0.0,0.0,0.0,10,0
369,Nemophila heterophylla,0.3333333333333333,0.1,0.15384615384615385,10,1
370,Nemophila menziesii,0.6666666666666666,0.6,0.631578947368421,10,6
371,Cardamine nuttallii,0.6666666666666666,0.6,0.631578947368421,10,6
372,Cardamine pratensis,0.5,0.4,0.4444444444444444,10,4
373,Descurainia sophia,0.3,0.3,0.3,10,3
374,Lepidium latifolium,0.2857142857142857,0.2,0.23529411764705882,10,2
375,Cylindropuntia ganderi,0.25,0.5,0.3333333333333333,10,5
376,Echinocereus bakeri,0.3333333333333333,0.2,0.25,10,2
377,Opuntia cochenillifera,0.17647058823529413,0.3,0.2222222222222222,10,3
378,Dianthus carthusianorum,0.625,0.5,0.5555555555555556,10,5
379,Herniaria glabra,0.5384615384615384,0.7,0.6086956521739131,10,7
380,Silene latifolia,0.2777777777777778,0.5,0.35714285714285715,10,5
381,Spergula arvensis,0.16666666666666666,0.1,0.125,10,1
382,Claytonia perfoliata,0.2857142857142857,0.2,0.23529411764705882,10,2
383,Phytolacca americana,0.16666666666666666,0.1,0.125,10,1
384,Antigonon leptopus,0.45454545454545453,0.5,0.47619047619047616,10,5
385,Eriogonum fasciculatum,0.5,0.6,0.5454545454545454,10,6
386,Muehlenbeckia axillaris,0.3333333333333333,0.5,0.4,10,5
387,Simmondsia chinensis,0.2727272727272727,0.3,0.2857142857142857,10,3
388,Euonymus alatus,0.18181818181818182,0.2,0.19047619047619047,10,2
389,Staphylea trifolia,0.0,0.0,0.0,10,0
390,Lonicera periclymenum,0.4,0.2,0.26666666666666666,10,2
391,Valeriana sitchensis,0.375,0.3,0.3333333333333333,10,3
392,Arctostaphylos patula,0.3333333333333333,0.5,0.4,10,5
393,Gaultheria shallon,0.14285714285714285,0.1,0.11764705882352941,10,1
