epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,validation_macro_f1,epoch_seconds
1,4.328518992996216,0.18425,3.2276229248046877,0.3134,0.2935332172181911,47.46102499961853
2,2.6612574113845824,0.4262,2.7235382080078123,0.3996,0.3842712542494581,48.48147654533386
3,2.1587923465728758,0.5313,2.5403628551483153,0.4272,0.4118972258513633,47.111833810806274
4,1.88286826877594,0.58205,2.4466095012664795,0.451,0.4438300874382529,45.933499813079834
5,1.696468532562256,0.62385,2.4225688507080076,0.4544,0.4456425131705854,46.0600950717926
