epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,validation_macro_f1,epoch_seconds
1,2.0391795659065246,0.50455,2.233159206008911,0.4704,0.46234238448652215,37.84895730018616
2,1.023089054441452,0.7523,2.137382459640503,0.5072,0.5011857566407373,27.321481466293335
3,0.4709781256914139,0.90475,2.0114472816467286,0.5368,0.52971643286775,27.62810230255127
4,0.17475073553919793,0.9796,1.9245448719024658,0.5586,0.5561479028045112,27.108967781066895
5,0.05960034638941288,0.99865,1.8045131601333617,0.5798,0.5762233475496514,27.678025722503662
6,0.034340968629717826,0.9999,1.78530443649292,0.5864,0.581841541143783,28.162920475006104
7,0.029368692192435264,1.0,1.7849214073181152,0.5806,0.5757265022226722,27.196421146392822
8,0.028563873283565043,1.0,1.7868130689620971,0.588,0.5844238173293906,27.102628231048584
9,0.029143616262078287,1.0,1.803609419631958,0.5874,0.5827877324137409,26.96458387374878
10,0.029408660903573035,1.0,1.806309175491333,0.5904,0.5848939040565315,26.98164677619934
11,0.030288627499341966,1.0,1.8136052211761475,0.5858,0.5809930943708782,26.981138944625854
12,0.031157330068945884,1.0,1.831921195411682,0.584,0.577987834817799,26.886158227920532
13,0.03103542236983776,1.0,1.8454809795379639,0.5846,0.57977103637715,26.846181392669678
14,0.030887044715881346,1.0,1.8650823001861572,0.584,0.5783135306176242,26.8329758644104
15,0.03128272095620632,1.0,1.8759294277191163,0.5834,0.5778857291794152,26.875465869903564
16,0.030422080779075624,1.0,1.8914906269073486,0.5828,0.5775084425132018,26.926796197891235
17,0.030804844439029692,1.0,1.9131311862945557,0.58,0.5740036755792696,26.883113384246826
18,0.03003157250881195,1.0,1.941115071105957,0.5806,0.5744788724483928,27.027827978134155
19,0.030039798858761787,1.0,1.960858731842041,0.576,0.5698334470693742,27.34656858444214
20,0.029622498688101767,1.0,1.979901724243164,0.5738,0.5661932239547277,27.66542410850525
21,0.02951180314719677,1.0,2.0127370040893555,0.572,0.5654194848957554,27.561376810073853
22,0.029790797436237335,1.0,2.0227907821655275,0.5714,0.5642395210256068,27.63049340248108
23,0.029357600036263466,1.0,2.046063056564331,0.5728,0.5667316338480911,27.478994846343994
24,0.3712237546592951,0.93785,2.851309477996826,0.383,0.3818509314557526,27.351484298706055
25,1.086669553756714,0.7647,2.382908382797241,0.458,0.4502557794639216,27.309144020080566
26,0.28673865588903424,0.95895,2.26329234085083,0.5048,0.5032397622900808,27.44079828262329
27,0.061584740337729454,0.9969,1.954401869392395,0.555,0.5512017189390911,27.748636484146118
28,0.020413382944464684,0.99995,1.882779524230957,0.577,0.5688352880573933,27.52939796447754
29,0.015486904513835907,1.0,1.9007780212402343,0.5764,0.5682534739604639,27.50363850593567
30,0.01596591143012047,1.0,1.918738740158081,0.5738,0.5652636234130609,26.949769020080566
31,0.01698281642794609,1.0,1.9441751079559326,0.5734,0.5635425972864765,26.766200065612793
32,0.018375468200445177,1.0,1.9602902355194092,0.5748,0.5658991957026805,26.676132917404175
33,0.019743617744743824,1.0,1.9949261848449706,0.568,0.5582995956265795,26.88016104698181
34,0.020961824363470077,1.0,2.0341666103363036,0.5684,0.5578466815842748,27.136853456497192
35,0.022270426638424396,1.0,2.0558396686553957,0.5652,0.5559417172502676,27.038655757904053
