epoch,learning_rate,next_learning_rate,train_loss,train_accuracy,validation_loss,validation_accuracy,validation_macro_f1,epoch_seconds
1,0.001,0.0009890738003669028,0.9843012947559356,0.74395,2.374085024642944,0.5118,0.5061284833527399,89.45630478858948
2,0.0009890738003669028,0.0009567727288213003,0.6815647294282913,0.8269,2.2766570529937744,0.528,0.5231898780012605,76.69278502464294
3,0.0009567727288213003,0.0009045084971874737,0.5438506506681442,0.8621,2.2676474380493166,0.5364,0.5340625089945159,77.31109619140625
4,0.0009045084971874737,0.0008345653031794292,0.4387574293255806,0.8918,2.259508506011963,0.5352,0.53048793682412,77.69294142723083
5,0.0008345653031794292,0.00075,0.36841997768878937,0.9126,2.231305973434448,0.5428,0.538411457258345,44.8682906627655
6,0.00075,0.0006545084971874737,0.3167138442397118,0.92745,2.202268263244629,0.5512,0.5463194832943089,42.82002902030945
7,0.0006545084971874737,0.0005522642316338268,0.2616444495797157,0.94535,2.2148411752700805,0.5464,0.5415631187513968,42.53489875793457
8,0.0005522642316338268,0.0004477357683661734,0.2331603122115135,0.9514,2.188974576950073,0.5482,0.5435144537962058,48.13340663909912
9,0.0004477357683661734,0.0003454915028125264,0.21149089800715445,0.95645,2.195119310951233,0.5482,0.5444127547832429,63.42614555358887
10,0.0003454915028125264,0.0002500000000000001,0.18689372276067734,0.96655,2.197843405914307,0.551,0.5449818549275808,76.2345757484436
11,0.0002500000000000001,0.00016543469682057103,0.173867316198349,0.9684,2.1793735399246215,0.5534,0.5492019315018897,65.26760864257812
12,0.00016543469682057103,9.549150281252631e-05,0.1678503676831722,0.9703,2.1745091384887694,0.558,0.5531649684809639,61.914767265319824
13,9.549150281252631e-05,4.322727117869951e-05,0.15846793764233588,0.9742,2.1792555786132812,0.5544,0.5501677103580624,53.01227402687073
14,4.322727117869951e-05,1.0926199633097156e-05,0.15289468784332275,0.97525,2.1725288333892823,0.557,0.5521133263822893,63.087137937545776
15,1.0926199633097156e-05,0.0,0.15354433396458625,0.9761,2.169757415008545,0.558,0.5539963210073906,47.406646728515625
