epoch,learning_rate,next_learning_rate,train_loss,train_accuracy,validation_loss,validation_accuracy,validation_macro_f1,epoch_seconds
1,0.01,0.009619397662556433,6.894555785751343,0.2003,6.860931553649903,0.2524,0.22610350646907362,53.81476306915283
2,0.009619397662556433,0.008535533905932736,5.143835370635986,0.34575,6.301129902648926,0.2904,0.26333264155346037,53.99829435348511
3,0.008535533905932736,0.006913417161825449,4.137982954216003,0.40935,6.04925214920044,0.3082,0.2923370812735152,52.64402484893799
4,0.006913417161825449,0.004999999999999999,3.177357737159729,0.4703,5.114801583099365,0.3366,0.31738506717660236,52.05206060409546
5,0.004999999999999999,0.003086582838174551,2.2974114459991455,0.5383,3.94792003326416,0.371,0.36355397173334236,52.318702697753906
6,0.003086582838174551,0.0014644660940672624,1.4797428990364074,0.6392,3.1573177139282227,0.4254,0.42907419762043003,52.26931309700012
7,0.0014644660940672624,0.00038060233744356627,1.0077452577114105,0.74,2.609153120803833,0.4692,0.46815635274169926,52.356956481933594
8,0.00038060233744356627,0.0,0.7751598261356354,0.8118,2.37891429977417,0.4918,0.490183813604835,50.923922538757324
