epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,validation_macro_f1,epoch_seconds
1,6.041254945373535,0.0068,5.764964023590088,0.014,0.002650933599809295,81.30794382095337
2,5.647983715820312,0.0165,5.519080467224121,0.0202,0.007733884289173123,59.49888825416565
3,5.3968265625,0.02625,5.353478948974609,0.0302,0.01254454356339947,72.71570825576782
4,5.168401922607422,0.04045,5.08172674407959,0.0428,0.022168749068577475,73.16922640800476
5,4.944668724060058,0.05705,4.871778776550293,0.0658,0.04393226146120304,88.21632623672485
6,4.71111584777832,0.08035,4.6885418045043945,0.083,0.05949532760500318,90.5795087814331
7,4.4978958599090575,0.09845,4.538543692016601,0.094,0.0693384312490059,76.96317958831787
8,4.29834345664978,0.1213,4.471815556335449,0.1146,0.08860569499847874,53.12866997718811
9,4.090143769454956,0.14545,4.259886820983887,0.1356,0.1097843946185568,53.071362257003784
10,3.9147183391571043,0.17305,4.116156022644043,0.1534,0.12992444884999446,52.8906569480896
11,3.7344873188018797,0.1964,4.107898457336426,0.1628,0.1331558054199241,53.4828782081604
12,3.5774917652130127,0.21855,3.915867692565918,0.1772,0.1535079487552891,64.50356674194336
13,3.3941845752716064,0.2492,3.914565461349487,0.198,0.17614481994754363,53.246307134628296
14,3.2417560150146483,0.2752,3.701454120635986,0.214,0.1940788669250058,52.342907428741455
15,3.0931770099639895,0.2964,3.669077306365967,0.2224,0.20419768942140984,53.23524451255798
16,2.93413604927063,0.32625,3.653709560394287,0.2232,0.20840864624173727,53.50534439086914
17,2.7951752733230593,0.3515,3.443085890960693,0.2514,0.23352432156230976,52.07616472244263
18,2.643080225944519,0.3833,3.4780933151245117,0.2494,0.23434507805260713,52.50639581680298
19,2.498485379981995,0.41045,3.3140330043792723,0.2792,0.262889115357999,52.14530062675476
20,2.3663869077682493,0.4404,3.3219728504180908,0.2856,0.2745766992256338,52.235535860061646
21,2.209705415534973,0.47425,3.2037644344329834,0.3004,0.29010617846032505,52.04824900627136
22,2.079786462020874,0.50265,3.139099473571777,0.305,0.29199814096924787,78.53203535079956
23,1.9424863857269288,0.5347,3.093502067565918,0.3186,0.31054330650520934,86.30629110336304
24,1.8196123200416565,0.56825,3.0357603912353515,0.3346,0.32507389208172127,86.00015878677368
25,1.70267895526886,0.59605,3.0283754058837893,0.3336,0.324773060389486,70.16227173805237
26,1.6069961868286133,0.623,2.982269055938721,0.339,0.328846126963879,60.77313041687012
27,1.5243814888954164,0.6496,2.9420380737304686,0.349,0.33831076963063983,75.64456725120544
28,1.4679009534835816,0.65965,2.925681399154663,0.35,0.34128893127944204,83.85719609260559
29,1.4098402190208434,0.6784,2.908031579208374,0.3538,0.34330310965774086,86.21939659118652
30,1.3910116015434266,0.68695,2.911715954208374,0.3544,0.34554987764921236,53.46267628669739

