epoch,learning_rate,next_learning_rate,train_loss,train_accuracy,validation_loss,validation_accuracy,validation_macro_f1,epoch_seconds
1,0.01,0.009619397662556433,4.328518992996216,0.18425,3.2276229248046877,0.3134,0.2935332172181911,74.88596391677856
2,0.009619397662556433,0.008535533905932736,2.6548460624694825,0.42795,2.724655527496338,0.3988,0.38374540111856775,70.16364765167236
3,0.008535533905932736,0.006913417161825449,2.1387178955078125,0.53965,2.528257011413574,0.4342,0.419209448918267,46.78047823905945
4,0.006913417161825449,0.004999999999999999,1.852030567741394,0.6015,2.415228654098511,0.4618,0.45463297039039147,45.116583585739136
5,0.004999999999999999,0.003086582838174551,1.662981669330597,0.65865,2.3674757957458494,0.4752,0.4699822776306604,45.749988079071045
6,0.003086582838174551,0.0014644660940672624,1.5388618719100953,0.69435,2.297982343292236,0.4916,0.48505675851287083,44.18112540245056
7,0.0014644660940672624,0.00038060233744356627,1.4560747469902038,0.72385,2.2699308712005615,0.4974,0.4928345322589085,44.07968282699585
8,0.00038060233744356627,0.0,1.4128272789955139,0.7379,2.256132546234131,0.5062,0.5006463703270232,63.250598430633545
