class_index,category_id,species_name,precision,recall,f1,support,correct_predictions
0,6,Aculepeira ceropegia,0.7142857142857143,0.5,0.5882352941176471,10,5
1,9,Araneus diadematus,0.625,0.5,0.5555555555555556,10,5
2,27,Eriophora ravilla,0.7,0.7,0.7,10,7
3,35,Micrathena mitrata,0.5454545454545454,0.6,0.5714285714285714,10,6
4,53,Badumna longinqua,0.5833333333333334,0.7,0.6363636363636364,10,7
5,58,Neriene radiata,0.3,0.3,0.3,10,3
6,106,Leucauge argyra,0.35714285714285715,0.5,0.4166666666666667,10,5
7,117,Latrodectus katipo,1.0,0.4,0.5714285714285714,10,4
8,128,Synema globosum,0.5,0.4,0.4444444444444444,10,4
9,152,Paravaejovis puritanus,0.8888888888888888,0.8,0.8421052631578947,10,8
10,158,Scolopendra cingulata,0.8571428571428571,0.6,0.7058823529411765,10,6
11,188,Cantharis fusca,0.75,0.6,0.6666666666666666,10,6
12,241,Plectrodera scalator,0.75,0.9,0.8181818181818182,10,9
13,319,Cycloneda sanguinea,0.75,0.3,0.42857142857142855,10,3
14,344,Anthrenus verbasci,0.5454545454545454,0.6,0.5714285714285714,10,6
15,387,Macrodactylus subspinosus,0.5333333333333333,0.8,0.64,10,8
16,400,Trichiotinus texanus,0.5714285714285714,0.4,0.47058823529411764,10,4
17,406,Necrophila americana,0.5,0.6,0.5454545454545454,10,6
18,409,Nicrophorus vespilloides,0.5833333333333334,0.7,0.6363636363636364,10,7
19,434,Xenox tigrinus,0.7272727272727273,0.8,0.7619047619047619,10,8
20,452,Mydas clavatus,0.5,0.4,0.4444444444444444,10,4
21,488,Spilomyia longicornis,0.6153846153846154,0.8,0.6956521739130435,10,8
22,514,Hyalymenus tarsatus,0.5,0.5,0.5,10,5
23,520,Hormaphis hamamelidis,0.5714285714285714,0.8,0.6666666666666666,10,8
24,525,Cercopis vulnerata,0.5294117647058824,0.9,0.6666666666666666,10,9
25,590,Melacoryphus lateralis,0.6666666666666666,0.6,0.631578947368421,10,6
26,626,Halyomorpha halys,0.6666666666666666,0.6,0.631578947368421,10,6
27,634,Peribalus strictus,0.8333333333333334,0.5,0.625,10,5
28,651,Phymata americana,0.4166666666666667,0.5,0.45454545454545453,10,5
29,653,Rasahus hamatus,0.7,0.7,0.7,10,7
30,685,Bombus fervidus,0.5454545454545454,0.6,0.5714285714285714,10,6
31,711,Xylocopa micans,0.3333333333333333,0.3,0.3157894736842105,10,3
32,722,Bicyrtes quadrifasciatus,0.6666666666666666,0.6,0.631578947368421,10,6
33,727,Amphibolips confluenta,0.8,0.8,0.8,10,8
34,750,Camponotus sericeiventris,0.5714285714285714,0.4,0.47058823529411764,10,4
35,757,Liometopum occidentale,0.46153846153846156,0.6,0.5217391304347826,10,6
36,771,Veromessor pergandei,0.5882352941176471,1.0,0.7407407407407407,10,10
37,821,Pachodynerus erynnis,0.75,0.3,0.42857142857142855,10,3
38,828,Polistes chinensis,0.0,0.0,0.0,10,0
39,832,Polistes exclamans,0.5,0.1,0.16666666666666666,10,1
40,887,Euchromius ocellea,0.6,0.6,0.6,10,6
41,916,Palpita vitrealis,0.7692307692307693,1.0,0.8695652173913043,10,10
42,931,Pyrausta inornatalis,0.75,0.6,0.6666666666666666,10,6
43,936,Pyrausta tyralis,0.875,0.7,0.7777777777777778,10,7
44,949,Urola nivalis,0.6666666666666666,0.8,0.7272727272727273,10,8
45,958,Oreta rosea,0.9090909090909091,1.0,0.9523809523809523,10,10
46,960,Thyatira batis,0.8888888888888888,0.8,0.8421052631578947,10,8
47,964,Allotria elonympha,0.6666666666666666,0.6,0.631578947368421,10,6
48,993,Calliteara pudibunda,0.875,0.7,0.7777777777777778,10,7
49,998,Catocala ilia,0.8,0.4,0.5333333333333333,10,4
50,1040,Halysidota harrisii,0.8888888888888888,0.8,0.8421052631578947,10,8
51,1049,Hypena madefactalis,0.6,0.6,0.6,10,6
52,1084,Mocis latipes,1.0,0.4,0.5714285714285714,10,4
53,1104,Parallelia bistriaris,0.6,0.6,0.6,10,6
54,1113,Plusiodonta compressipalpis,0.75,0.6,0.6666666666666666,10,6
55,1122,Sphrageidus similis,0.6666666666666666,0.6,0.631578947368421,10,6
56,1127,Spilosoma virginica,0.6666666666666666,0.4,0.5,10,4
57,1133,Utetheisa ornatrix,0.6666666666666666,0.4,0.5,10,4
58,1137,Zale horrida,1.0,1.0,1.0,10,10
59,1139,Zale minerea,0.7777777777777778,0.7,0.7368421052631579,10,7
60,1146,Dichomeris flavocostella,0.6923076923076923,0.9,0.782608695652174,10,9
61,1160,Campaea perlata,0.8888888888888888,0.8,0.8421052631578947,10,8
62,1163,Caripeta piniata,0.8333333333333334,1.0,0.9090909090909091,10,10
63,1169,Chloroclystis filata,0.7272727272727273,0.8,0.7619047619047619,10,8
64,1188,Didymoctenia exsuperata,0.625,0.5,0.5555555555555556,10,5
65,1193,Disclisioprocta stellata,0.6363636363636364,0.7,0.6666666666666666,10,7
66,1200,Ectropis crepuscularia,0.6363636363636364,0.7,0.6666666666666666,10,7
67,1232,Hyposidra talaca,0.75,0.6,0.6666666666666666,10,6
68,1235,Idaea degeneraria,0.6666666666666666,0.6,0.631578947368421,10,6
69,1290,Phrissogonus laticostata,0.6666666666666666,0.4,0.5,10,4
