epoch,learning_rate,next_learning_rate,train_loss,train_accuracy,validation_loss,validation_accuracy,validation_macro_f1,epoch_seconds
1,0.01,0.009890738003669028,2.0502576747894286,0.50195,2.2306771217346193,0.473,0.46545704871774446,50.6648371219635
2,0.009890738003669028,0.009567727288213004,1.0432247811317443,0.74705,2.1632572437286375,0.499,0.4929014528481151,57.40927505493164
3,0.009567727288213004,0.009045084971874737,0.4727383875608444,0.90615,2.0083628646850586,0.5348,0.5281553588170792,56.580100774765015
4,0.009045084971874737,0.008345653031794291,0.16674989324212075,0.9819,1.9030415470123292,0.5614,0.5583875929377845,55.85040473937988
5,0.008345653031794291,0.0075,0.05804404798746109,0.99865,1.7990846073150635,0.58,0.5769281124096108,57.13733172416687
6,0.0075,0.006545084971874737,0.03585797739624977,0.99985,1.7805591638565064,0.587,0.5824959765357839,53.65872550010681
7,0.006545084971874737,0.005522642316338268,0.030318987160921098,1.0,1.7754791622161865,0.584,0.5791287329679491,57.23076343536377
8,0.005522642316338268,0.004477357683661734,0.02855780089199543,1.0,1.77813659324646,0.585,0.5803808081008287,56.530038833618164
9,0.004477357683661734,0.003454915028125264,0.027846130260825157,1.0,1.7830517530441283,0.5858,0.5810820198047671,56.49965500831604
10,0.003454915028125264,0.0025000000000000014,0.02686329728960991,1.0,1.7820573055267335,0.5872,0.5819509289575931,57.25159430503845
11,0.0025000000000000014,0.0016543469682057106,0.026711467838287352,1.0,1.781082744216919,0.5884,0.5824154851357848,56.47331190109253
12,0.0016543469682057106,0.0009549150281252633,0.026588559246063233,1.0,1.7762030494689942,0.5884,0.5825833319498039,56.2302680015564
13,0.0009549150281252633,0.0004322727117869951,0.026101900434494018,1.0,1.7807332035064698,0.588,0.582728320860223,55.54428696632385
14,0.0004322727117869951,0.00010926199633097157,0.02581566723883152,1.0,1.7816775602340698,0.5882,0.5835493019178292,57.09227013587952
15,0.00010926199633097157,0.0,0.026013489431142806,1.0,1.777268027496338,0.588,0.5836928180780478,47.07091474533081
