epoch,learning_rate,next_learning_rate,train_loss,train_accuracy,validation_loss,validation_accuracy,validation_macro_f1,epoch_seconds
1,0.01,0.009619397662556433,4.271097686004639,0.1947,3.210166012954712,0.321,0.3048261203989279,74.52273988723755
2,0.009619397662556433,0.008535533905932736,2.632881394004822,0.4298,2.713658025741577,0.4058,0.39046695407955007,88.72513484954834
3,0.008535533905932736,0.006913417161825449,2.152132221221924,0.53095,2.5236275871276854,0.4362,0.4201597387590564,63.34451246261597
4,0.006913417161825449,0.004999999999999999,1.897720305633545,0.5881,2.400502894592285,0.464,0.45522316312548117,54.956263065338135
5,0.004999999999999999,0.003086582838174551,1.7276337794303893,0.6304,2.3485792083740233,0.4708,0.46425899945086324,55.64798879623413
6,0.003086582838174551,0.0014644660940672624,1.6110801267623902,0.6657,2.2799100326538086,0.4942,0.4888673669563404,87.79113054275513
7,0.0014644660940672624,0.00038060233744356627,1.5324086372375487,0.6902,2.246844467544556,0.4944,0.4910718781724559,91.33102560043335
8,0.00038060233744356627,0.0,1.490331670475006,0.70225,2.2318821029663085,0.503,0.4995266620833238,66.87277793884277
