epoch,learning_rate,next_learning_rate,train_loss,train_accuracy,validation_loss,validation_accuracy,validation_macro_f1,epoch_seconds
1,0.01,0.009619397662556433,4.271097686004639,0.1947,3.210166012954712,0.321,0.3048261203989279,74.52273988723755
2,0.009619397662556433,0.008535533905932736,2.632881394004822,0.4298,2.713658025741577,0.4058,0.39046695407955007,88.72513484954834
3,0.008535533905932736,0.006913417161825449,2.152132221221924,0.53095,2.5236275871276854,0.4362,0.4201597387590564,63.34451246261597
4,0.006913417161825449,0.004999999999999999,1.897720305633545,0.5881,2.400502894592285,0.464,0.45522316312548117,54.956263065338135
5,0.004999999999999999,0.003086582838174551,1.7276337794303893,0.6304,2.3485792083740233,0.4708,0.46425899945086324,55.64798879623413
6,0.003086582838174551,0.0014644660940672624,1.6110801267623902,0.6657,2.2799100326538086,0.4942,0.4888673669563404,87.79113054275513
7,0.0014644660940672624,0.00038060233744356627,1.5324086372375487,0.6902,2.246844467544556,0.4944,0.4910718781724559,91.33102560043335
8,0.00038060233744356627,0.0,1.490331670475006,0.70225,2.2318821029663085,0.503,0.4995266620833238,66.87277793884277
9,0.01,0.009979871469976196,2.0444326343536376,0.50375,2.236960934448242,0.4746,0.4670912130550133,59.16680383682251
10,0.009979871469976196,0.009919647942993149,1.4511628049850465,0.63715,2.1054566473007204,0.5022,0.49568171912454123,51.13839912414551
11,0.009919647942993149,0.009819814303479267,1.1230745321273803,0.72105,2.02273504486084,0.5304,0.5224186748476022,42.38465762138367
12,0.009819814303479267,0.009681174353198688,0.8823386155605316,0.7825,1.9519249660491944,0.539,0.5375493462109546,75.47779178619385
13,0.009681174353198688,0.009504844339512097,0.6956575469017029,0.8305,1.9632566402435303,0.5446,0.5386495838923342,76.10137677192688
14,0.009504844339512097,0.009292243968009333,0.5676752950429916,0.8684,1.9423924486160278,0.5572,0.5535345765584846,77.19195103645325
15,0.009292243968009333,0.009045084971874739,0.44982739927768706,0.9014,1.9320227394104004,0.559,0.5545527981307382,77.37752485275269
16,0.009045084971874739,0.008765357330018058,0.36224709136486055,0.92325,1.9550527963638307,0.5618,0.5586891898555689,76.45302152633667
17,0.008765357330018058,0.008455313244934325,0.3034174679517746,0.9413,1.9259754098892212,0.5606,0.5583930758325145,76.43322205543518
18,0.008455313244934325,0.008117449009293669,0.2405711381793022,0.9591,1.8886755031585694,0.5734,0.5703302149581277,57.345378160476685
19,0.008117449009293669,0.007754484907260513,0.1967169479727745,0.97045,1.8706148223876953,0.5756,0.5724494497215482,41.10244584083557
20,0.007754484907260513,0.007369343312364994,0.16164071970582009,0.9805,1.8422921209335328,0.5802,0.5754472688944481,41.763975858688354
21,0.007369343312364994,0.006965125158269619,0.13112490842938423,0.9868,1.8212246223449706,0.5852,0.5815041818044077,59.094343423843384
22,0.006965125158269619,0.006545084971874737,0.11121549108028411,0.99055,1.8175189754486083,0.5882,0.5837194908203543,75.56477952003479
23,0.006545084971874737,0.006112604669781572,0.09967994429171086,0.9926,1.7977599475860595,0.5932,0.5891685050356767,76.36768054962158
24,0.006112604669781572,0.005671166329088278,0.08625872719287872,0.99485,1.7665672946929931,0.6012,0.5967029057569632,76.384197473526
25,0.005671166329088278,0.005224324151752576,0.07698257049322128,0.9963,1.7468698421478273,0.6034,0.5983907117562487,75.48718237876892
26,0.005224324151752576,0.004775675848247426,0.0692584747672081,0.99705,1.7481224952697754,0.6054,0.6011932598987202,76.39081001281738
27,0.004775675848247426,0.0043288336709117236,0.06357729761004448,0.99855,1.7302346417427064,0.6068,0.6012420029309987,74.15004801750183
28,0.0043288336709117236,0.0038873953302184286,0.06014455887079239,0.9982,1.7196193210601807,0.6032,0.5976332181063504,41.86178994178772
