class_index,category_id,species_name,precision,recall,f1,support,correct_predictions
0,6,Aculepeira ceropegia,0.8333333333333334,0.5,0.625,10,5
1,9,Araneus diadematus,0.8333333333333334,0.5,0.625,10,5
2,27,Eriophora ravilla,0.6666666666666666,0.8,0.7272727272727273,10,8
3,35,Micrathena mitrata,0.625,0.5,0.5555555555555556,10,5
4,53,Badumna longinqua,0.625,0.5,0.5555555555555556,10,5
5,58,Neriene radiata,0.45454545454545453,0.5,0.47619047619047616,10,5
6,106,Leucauge argyra,0.45454545454545453,0.5,0.47619047619047616,10,5
7,117,Latrodectus katipo,0.5,0.5,0.5,10,5
8,128,Synema globosum,0.6,0.3,0.4,10,3
9,152,Paravaejovis puritanus,0.8888888888888888,0.8,0.8421052631578947,10,8
10,158,Scolopendra cingulata,0.7272727272727273,0.8,0.7619047619047619,10,8
11,188,Cantharis fusca,0.8333333333333334,0.5,0.625,10,5
12,241,Plectrodera scalator,0.6428571428571429,0.9,0.75,10,9
13,319,Cycloneda sanguinea,0.75,0.6,0.6666666666666666,10,6
14,344,Anthrenus verbasci,0.6,0.6,0.6,10,6
15,387,Macrodactylus subspinosus,0.6,0.9,0.72,10,9
16,400,Trichiotinus texanus,0.45454545454545453,0.5,0.47619047619047616,10,5
17,406,Necrophila americana,0.625,0.5,0.5555555555555556,10,5
18,409,Nicrophorus vespilloides,0.6666666666666666,0.8,0.7272727272727273,10,8
19,434,Xenox tigrinus,0.8,0.8,0.8,10,8
20,452,Mydas clavatus,0.5,0.5,0.5,10,5
21,488,Spilomyia longicornis,0.8181818181818182,0.9,0.8571428571428571,10,9
22,514,Hyalymenus tarsatus,0.75,0.3,0.42857142857142855,10,3
23,520,Hormaphis hamamelidis,0.7272727272727273,0.8,0.7619047619047619,10,8
24,525,Cercopis vulnerata,0.8181818181818182,0.9,0.8571428571428571,10,9
25,590,Melacoryphus lateralis,0.6666666666666666,0.6,0.631578947368421,10,6
26,626,Halyomorpha halys,0.7,0.7,0.7,10,7
27,634,Peribalus strictus,1.0,0.3,0.46153846153846156,10,3
28,651,Phymata americana,0.4166666666666667,0.5,0.45454545454545453,10,5
29,653,Rasahus hamatus,0.7,0.7,0.7,10,7
30,685,Bombus fervidus,0.5555555555555556,0.5,0.5263157894736842,10,5
31,711,Xylocopa micans,0.2727272727272727,0.3,0.2857142857142857,10,3
32,722,Bicyrtes quadrifasciatus,0.6666666666666666,0.6,0.631578947368421,10,6
33,727,Amphibolips confluenta,0.8333333333333334,0.5,0.625,10,5
34,750,Camponotus sericeiventris,0.5555555555555556,0.5,0.5263157894736842,10,5
35,757,Liometopum occidentale,0.6666666666666666,0.6,0.631578947368421,10,6
36,771,Veromessor pergandei,0.6666666666666666,1.0,0.8,10,10
37,821,Pachodynerus erynnis,0.3,0.3,0.3,10,3
38,828,Polistes chinensis,0.18181818181818182,0.2,0.19047619047619047,10,2
39,832,Polistes exclamans,0.2222222222222222,0.2,0.21052631578947367,10,2
40,887,Euchromius ocellea,0.7272727272727273,0.8,0.7619047619047619,10,8
41,916,Palpita vitrealis,0.8333333333333334,1.0,0.9090909090909091,10,10
42,931,Pyrausta inornatalis,0.7777777777777778,0.7,0.7368421052631579,10,7
43,936,Pyrausta tyralis,0.75,0.6,0.6666666666666666,10,6
44,949,Urola nivalis,0.7,0.7,0.7,10,7
45,958,Oreta rosea,0.9090909090909091,1.0,0.9523809523809523,10,10
46,960,Thyatira batis,0.8,0.8,0.8,10,8
47,964,Allotria elonympha,0.6363636363636364,0.7,0.6666666666666666,10,7
48,993,Calliteara pudibunda,0.875,0.7,0.7777777777777778,10,7
49,998,Catocala ilia,1.0,0.4,0.5714285714285714,10,4
50,1040,Halysidota harrisii,1.0,1.0,1.0,10,10
51,1049,Hypena madefactalis,0.8,0.8,0.8,10,8
52,1084,Mocis latipes,1.0,0.5,0.6666666666666666,10,5
53,1104,Parallelia bistriaris,0.7777777777777778,0.7,0.7368421052631579,10,7
54,1113,Plusiodonta compressipalpis,0.5555555555555556,0.5,0.5263157894736842,10,5
55,1122,Sphrageidus similis,0.6,0.6,0.6,10,6
56,1127,Spilosoma virginica,0.5,0.4,0.4444444444444444,10,4
57,1133,Utetheisa ornatrix,0.7142857142857143,0.5,0.5882352941176471,10,5
58,1137,Zale horrida,1.0,0.9,0.9473684210526315,10,9
59,1139,Zale minerea,0.7777777777777778,0.7,0.7368421052631579,10,7
60,1146,Dichomeris flavocostella,0.7692307692307693,1.0,0.8695652173913043,10,10
61,1160,Campaea perlata,0.8571428571428571,0.6,0.7058823529411765,10,6
62,1163,Caripeta piniata,0.9090909090909091,1.0,0.9523809523809523,10,10
63,1169,Chloroclystis filata,0.6153846153846154,0.8,0.6956521739130435,10,8
64,1188,Didymoctenia exsuperata,0.6666666666666666,0.4,0.5,10,4
65,1193,Disclisioprocta stellata,0.5,0.7,0.5833333333333334,10,7
66,1200,Ectropis crepuscularia,0.7,0.7,0.7,10,7
67,1232,Hyposidra talaca,0.8333333333333334,0.5,0.625,10,5
68,1235,Idaea degeneraria,0.75,0.6,0.6666666666666666,10,6
69,1290,Phrissogonus laticostata,0.6666666666666666,0.4,0.5,10,4
70,1291,Plagodis alcoolaria,1.0,1.0,1.0,10,10
71,1307,Scopula rubraria,0.6666666666666666,0.8,0.7272727272727273,10,8
72,1312,Synchlora aerata,0.9,0.9,0.9,10,9
73,1343,Burnsius communis,0.5833333333333334,0.7,0.6363636363636364,10,7
74,1389,Pelopidas mathias,0.5833333333333334,0.7,0.6363636363636364,10,7
75,1403,Thorybes bathyllus,0.4666666666666667,0.7,0.56,10,7
