epoch,learning_rate,next_learning_rate,train_loss,train_accuracy,validation_loss,validation_accuracy,validation_macro_f1,epoch_seconds
1,0.01,0.009619397662556433,4.821250138092041,0.1414,3.730978896331787,0.2788,0.25141739501122146,69.08178424835205
2,0.009619397662556433,0.008535533905932736,3.1533697227478026,0.38245,3.052206213378906,0.378,0.3610011470795731,65.51099443435669
3,0.008535533905932736,0.006913417161825449,2.5879062854766848,0.4819,2.7736250961303712,0.4178,0.40082036112452396,73.44038081169128
4,0.006913417161825449,0.004999999999999999,2.2978561157226562,0.5406,2.6233013652801516,0.4436,0.43443210862564186,86.93529987335205
5,0.004999999999999999,0.003086582838174551,2.1209838481903076,0.58055,2.5422652355194093,0.4618,0.451757463638167,58.43864107131958
6,0.003086582838174551,0.0014644660940672624,2.0186545680999757,0.6084,2.4804642520904543,0.477,0.46824003795416,80.94794249534607
7,0.0014644660940672624,0.00038060233744356627,1.9439914440155028,0.6291,2.45229560546875,0.4824,0.47685533236463995,70.58239483833313
8,0.00038060233744356627,0.0,1.9096464012145997,0.63495,2.44399574546814,0.486,0.4806430135768646,97.6024796962738
