epoch,learning_rate,next_learning_rate,train_loss,train_accuracy,validation_loss,validation_accuracy,validation_macro_f1,epoch_seconds
1,0.01,0.009890738003669028,1.8700456413269042,0.5701,2.0421293899536135,0.5172,0.5087829394937354,53.309584617614746
2,0.009890738003669028,0.009567727288213004,1.3613574333190919,0.68035,1.930980805206299,0.5366,0.5295606222001112,42.17061996459961
3,0.009567727288213004,0.009045084971874737,1.0525597526550292,0.76035,1.8585206108093262,0.555,0.5486598280948322,43.17768692970276
4,0.009045084971874737,0.008345653031794291,0.8281078112602234,0.8202,1.8200279092788696,0.5664,0.5638979211141204,42.43294167518616
5,0.008345653031794291,0.0075,0.640582356929779,0.869,1.7941197441101073,0.5758,0.5742807194092406,53.39732217788696
6,0.0075,0.006545084971874737,0.497569394493103,0.9066,1.776340570831299,0.5812,0.5800661914388827,42.70026731491089
7,0.006545084971874737,0.005522642316338268,0.384165608215332,0.93945,1.744029734802246,0.587,0.5835577318614673,47.27291464805603
8,0.005522642316338268,0.004477357683661734,0.295929141330719,0.95985,1.7378072578430175,0.5926,0.5909400545133922,75.43052244186401
9,0.004477357683661734,0.003454915028125264,0.2374848379611969,0.97495,1.7374873386383056,0.5978,0.5932561663052249,74.54407286643982
10,0.003454915028125264,0.0025000000000000014,0.194617600440979,0.9835,1.7198131111145019,0.5994,0.5958986279784413,74.34150338172913
11,0.0025000000000000014,0.0016543469682057106,0.16950695524215698,0.9885,1.704194366455078,0.5998,0.5954624799810699,74.42785263061523
12,0.0016543469682057106,0.0009549150281252633,0.15204270918369292,0.9916,1.7021005210876465,0.6012,0.5982478630303226,73.84602332115173
13,0.0009549150281252633,0.0004322727117869951,0.1395932284593582,0.9926,1.694648309326172,0.6082,0.6040933525893534,74.03339266777039
14,0.0004322727117869951,0.00010926199633097157,0.1314363440513611,0.99475,1.6912732494354248,0.6054,0.6015019439368895,74.77224087715149
15,0.00010926199633097157,0.0,0.13094884188175202,0.99505,1.6896623764038086,0.6056,0.6018291250393826,76.01951694488525
