class_index,category_id,species_name,precision,recall,f1,support,correct_predictions
38,828,Polistes chinensis,0.1111111111111111,0.1,0.10526315789473684,10,1
39,832,Polistes exclamans,0.36363636363636365,0.4,0.38095238095238093,10,4
40,887,Euchromius ocellea,0.6666666666666666,0.6,0.631578947368421,10,6
41,916,Palpita vitrealis,0.6666666666666666,1.0,0.8,10,10
42,931,Pyrausta inornatalis,0.7777777777777778,0.7,0.7368421052631579,10,7
43,936,Pyrausta tyralis,0.7,0.7,0.7,10,7
44,949,Urola nivalis,0.8888888888888888,0.8,0.8421052631578947,10,8
45,958,Oreta rosea,0.8181818181818182,0.9,0.8571428571428571,10,9
46,960,Thyatira batis,0.8888888888888888,0.8,0.8421052631578947,10,8
47,964,Allotria elonympha,0.7,0.7,0.7,10,7
48,993,Calliteara pudibunda,0.7777777777777778,0.7,0.7368421052631579,10,7
49,998,Catocala ilia,1.0,0.5,0.6666666666666666,10,5
50,1040,Halysidota harrisii,1.0,0.9,0.9473684210526315,10,9
51,1049,Hypena madefactalis,0.7,0.7,0.7,10,7
52,1084,Mocis latipes,0.8333333333333334,0.5,0.625,10,5
53,1104,Parallelia bistriaris,0.6363636363636364,0.7,0.6666666666666666,10,7
54,1113,Plusiodonta compressipalpis,0.5714285714285714,0.4,0.47058823529411764,10,4
55,1122,Sphrageidus similis,0.6,0.6,0.6,10,6
56,1127,Spilosoma virginica,0.6666666666666666,0.4,0.5,10,4
57,1133,Utetheisa ornatrix,0.5,0.5,0.5,10,5
58,1137,Zale horrida,1.0,1.0,1.0,10,10
59,1139,Zale minerea,0.8,0.8,0.8,10,8
60,1146,Dichomeris flavocostella,0.9090909090909091,1.0,0.9523809523809523,10,10
61,1160,Campaea perlata,0.875,0.7,0.7777777777777778,10,7
62,1163,Caripeta piniata,1.0,0.9,0.9473684210526315,10,9
63,1169,Chloroclystis filata,0.47058823529411764,0.8,0.5925925925925926,10,8
64,1188,Didymoctenia exsuperata,0.7142857142857143,0.5,0.5882352941176471,10,5
65,1193,Disclisioprocta stellata,0.5833333333333334,0.7,0.6363636363636364,10,7
66,1200,Ectropis crepuscularia,0.8333333333333334,0.5,0.625,10,5
67,1232,Hyposidra talaca,0.8333333333333334,0.5,0.625,10,5
68,1235,Idaea degeneraria,0.875,0.7,0.7777777777777778,10,7
69,1290,Phrissogonus laticostata,0.6666666666666666,0.4,0.5,10,4
70,1291,Plagodis alcoolaria,0.9,0.9,0.9,10,9
71,1307,Scopula rubraria,0.7272727272727273,0.8,0.7619047619047619,10,8
72,1312,Synchlora aerata,0.9,0.9,0.9,10,9
73,1343,Burnsius communis,0.5833333333333334,0.7,0.6363636363636364,10,7
74,1389,Pelopidas mathias,0.5,0.7,0.5833333333333334,10,7
75,1403,Thorybes bathyllus,0.6363636363636364,0.7,0.6666666666666666,10,7
76,1424,Tolype velleda,0.7777777777777778,0.7,0.7368421052631579,10,7
77,1489,Jamides bochus,0.6666666666666666,0.8,0.7272727272727273,10,8
78,1512,Parrhasius m-album,0.7777777777777778,0.7,0.7368421052631579,10,7
79,1519,Polyommatus coridon,0.8,0.4,0.5333333333333333,10,4
80,1528,Satyrium edwardsii,0.625,0.5,0.5555555555555556,10,5
81,1530,Satyrium liparops,0.7777777777777778,0.7,0.7368421052631579,10,7
82,1535,Strymon istapa,0.6923076923076923,0.9,0.782608695652174,10,9
83,1545,Megalopyge opercularis,0.7272727272727273,0.8,0.7619047619047619,10,8
84,1584,Autographa gamma,0.4,0.4,0.4,10,4
85,1588,Callopistria cordata,1.0,1.0,1.0,10,10
