epoch,learning_rate,next_learning_rate,train_loss,train_accuracy,validation_loss,validation_accuracy,validation_macro_f1,epoch_seconds
1,0.01,0.009619397662556433,5.415611730194092,0.08305,4.503219551086426,0.1924,0.1665644350404668,91.63499999046326
2,0.009619397662556433,0.008535533905932736,3.934104299163818,0.296,3.6674772994995117,0.3184,0.293304213418792,95.62928605079651
3,0.008535533905932736,0.006913417161825449,3.259098882675171,0.40755,3.273904066467285,0.3746,0.35548789084681626,91.62287020683289
4,0.006913417161825449,0.004999999999999999,2.905092035675049,0.4665,3.0599524559020996,0.4136,0.39433841625838145,91.92547678947449
5,0.004999999999999999,0.003086582838174551,2.6908984424591065,0.5121,2.9418753303527834,0.4242,0.4085509522764536,93.63796067237854
6,0.003086582838174551,0.0014644660940672624,2.5684340309143066,0.5377,2.869969020843506,0.4418,0.4273601960213298,90.65008091926575
7,0.0014644660940672624,0.00038060233744356627,2.4941002128601073,0.5579,2.839378772354126,0.4504,0.43938937866990546,90.53399229049683
8,0.00038060233744356627,0.0,2.460710815811157,0.5671,2.8322367721557615,0.4494,0.4379457567426071,92.89468193054199
