class_index,category_id,species_name,precision,recall,f1,support,correct_predictions
0,6,Aculepeira ceropegia,0.8333333333333334,0.5,0.625,10,5
1,9,Araneus diadematus,0.7142857142857143,0.5,0.5882352941176471,10,5
2,27,Eriophora ravilla,0.7777777777777778,0.7,0.7368421052631579,10,7
3,35,Micrathena mitrata,0.5555555555555556,0.5,0.5263157894736842,10,5
4,53,Badumna longinqua,0.6,0.6,0.6,10,6
5,58,Neriene radiata,0.4,0.4,0.4,10,4
6,106,Leucauge argyra,0.4166666666666667,0.5,0.45454545454545453,10,5
7,117,Latrodectus katipo,0.6666666666666666,0.4,0.5,10,4
8,128,Synema globosum,0.4444444444444444,0.4,0.42105263157894735,10,4
9,152,Paravaejovis puritanus,0.7,0.7,0.7,10,7
10,158,Scolopendra cingulata,0.7777777777777778,0.7,0.7368421052631579,10,7
11,188,Cantharis fusca,0.6666666666666666,0.6,0.631578947368421,10,6
12,241,Plectrodera scalator,0.8181818181818182,0.9,0.8571428571428571,10,9
13,319,Cycloneda sanguinea,0.6666666666666666,0.4,0.5,10,4
14,344,Anthrenus verbasci,0.5,0.6,0.5454545454545454,10,6
15,387,Macrodactylus subspinosus,0.6153846153846154,0.8,0.6956521739130435,10,8
16,400,Trichiotinus texanus,0.45454545454545453,0.5,0.47619047619047616,10,5
17,406,Necrophila americana,0.5384615384615384,0.7,0.6086956521739131,10,7
18,409,Nicrophorus vespilloides,0.5384615384615384,0.7,0.6086956521739131,10,7
19,434,Xenox tigrinus,0.7777777777777778,0.7,0.7368421052631579,10,7
20,452,Mydas clavatus,0.625,0.5,0.5555555555555556,10,5
21,488,Spilomyia longicornis,0.7,0.7,0.7,10,7
22,514,Hyalymenus tarsatus,0.2857142857142857,0.4,0.3333333333333333,10,4
23,520,Hormaphis hamamelidis,0.7272727272727273,0.8,0.7619047619047619,10,8
24,525,Cercopis vulnerata,0.5882352941176471,1.0,0.7407407407407407,10,10
25,590,Melacoryphus lateralis,0.4,0.4,0.4,10,4
26,626,Halyomorpha halys,0.7142857142857143,0.5,0.5882352941176471,10,5
27,634,Peribalus strictus,0.8333333333333334,0.5,0.625,10,5
28,651,Phymata americana,0.7142857142857143,0.5,0.5882352941176471,10,5
29,653,Rasahus hamatus,0.75,0.6,0.6666666666666666,10,6
30,685,Bombus fervidus,0.625,0.5,0.5555555555555556,10,5
31,711,Xylocopa micans,0.42857142857142855,0.3,0.35294117647058826,10,3
32,722,Bicyrtes quadrifasciatus,0.6666666666666666,0.6,0.631578947368421,10,6
33,727,Amphibolips confluenta,0.7777777777777778,0.7,0.7368421052631579,10,7
34,750,Camponotus sericeiventris,0.42857142857142855,0.3,0.35294117647058826,10,3
35,757,Liometopum occidentale,0.4,0.6,0.48,10,6
36,771,Veromessor pergandei,0.6666666666666666,1.0,0.8,10,10
37,821,Pachodynerus erynnis,0.3333333333333333,0.2,0.25,10,2
38,828,Polistes chinensis,0.0,0.0,0.0,10,0
39,832,Polistes exclamans,0.5,0.3,0.375,10,3
40,887,Euchromius ocellea,0.8571428571428571,0.6,0.7058823529411765,10,6
41,916,Palpita vitrealis,0.8333333333333334,1.0,0.9090909090909091,10,10
42,931,Pyrausta inornatalis,0.7,0.7,0.7,10,7
43,936,Pyrausta tyralis,0.7,0.7,0.7,10,7
44,949,Urola nivalis,0.7,0.7,0.7,10,7
45,958,Oreta rosea,0.9,0.9,0.9,10,9
46,960,Thyatira batis,0.7,0.7,0.7,10,7
47,964,Allotria elonympha,0.6666666666666666,0.6,0.631578947368421,10,6
48,993,Calliteara pudibunda,0.7777777777777778,0.7,0.7368421052631579,10,7
