epoch,learning_rate,next_learning_rate,train_loss,train_accuracy,validation_loss,validation_accuracy,validation_macro_f1,epoch_seconds
1,0.01,0.01,4.271097686004639,0.1947,3.210166012954712,0.321,0.3048261203989279,54.36545181274414
2,0.01,0.01,2.63877573223114,0.4259,2.713076396560669,0.4066,0.39121419918510986,53.142261266708374
3,0.01,0.01,2.17234093208313,0.51955,2.5379675102233885,0.4308,0.41448607161272866,81.69546270370483
4,0.01,0.01,1.9328927646636962,0.56545,2.431239139556885,0.455,0.446633869949733,90.84818315505981
5,0.01,0.01,1.7724555457115174,0.5991,2.40660474357605,0.4522,0.4446947146018465,92.00908041000366
6,0.01,0.01,1.6529907681465148,0.622,2.3553667198181154,0.4684,0.4644743495349528,91.79601907730103
7,0.01,0.01,1.5521476922988893,0.64425,2.3427012424468994,0.4634,0.46384566193340704,89.1816623210907
8,0.01,0.01,1.4802860130310058,0.65985,2.3261955184936522,0.473,0.4671461822771837,89.2942361831665
