class_index,species_name,precision,recall,f1,support,correct_predictions
93,Psychomorpha epimenis,0.23529411764705882,0.4,0.2962962962962963,10,4
94,Macrurocampa marthesia,0.16666666666666666,0.1,0.125,10,1
95,Pheosidea elegans,0.29411764705882354,0.5,0.37037037037037035,10,5
96,Aglais urticae,0.5,0.3,0.375,10,3
97,Anartia fatima,0.16666666666666666,0.1,0.125,10,1
98,Asterocampa clyton,0.3333333333333333,0.2,0.25,10,2
99,Boloria chariclea,0.25,0.2,0.2222222222222222,10,2
100,Cyllopsis gemma,0.16666666666666666,0.1,0.125,10,1
101,Danaus eresimus,0.6,0.6,0.6,10,6
102,Danaus plexippus,0.3333333333333333,0.3,0.3157894736842105,10,3
103,Historis odius,0.4,0.4,0.4,10,4
104,Junonia lemonias,0.5,0.2,0.2857142857142857,10,2
105,Junonia oenone,0.5,0.4,0.4444444444444444,10,4
106,Junonia villida,0.2,0.3,0.24,10,3
107,Pyronia cecilia,0.16666666666666666,0.3,0.21428571428571427,10,3
108,Tisiphone abeona,0.5,0.5,0.5,10,5
109,Parnassius smintheus,0.125,0.1,0.1111111111111111,10,1
110,Abaeis nicippe,0.0,0.0,0.0,10,0
111,Catopsilia pomona,0.5714285714285714,0.4,0.47058823529411764,10,4
112,Mylothris agathina,0.2,0.1,0.13333333333333333,10,1
113,Pareronia hippia,0.6,0.6,0.6,10,6
114,Pyrisitia lisa,0.2,0.3,0.24,10,3
115,Hamearis lucina,0.3333333333333333,0.2,0.25,10,2
116,Melanis cephise,0.5625,0.9,0.6923076923076923,10,9
117,Saturnia pyri,0.14285714285714285,0.1,0.11764705882352941,10,1
118,Synanthedon acerni,0.36363636363636365,0.4,0.38095238095238093,10,4
119,Hyles gallii,0.0,0.0,0.0,10,0
120,Syricoris lacunana,0.2857142857142857,0.4,0.3333333333333333,10,4
121,Pseudomantis albofimbriata,0.0,0.0,0.0,10,0
122,Stagmomantis carolina,0.0,0.0,0.0,10,0
123,Corydalus cornutus,0.0,0.0,0.0,10,0
124,Agriocnemis femina,0.2916666666666667,0.7,0.4117647058823529,10,7
125,Epitheca princeps,0.0,0.0,0.0,10,0
126,Dromogomphus spoliatus,0.2222222222222222,0.4,0.2857142857142857,10,4
