epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,validation_macro_f1,epoch_seconds
1,6.182985531616211,0.00425,5.9581412475585935,0.008,0.0007050863304508373,60.04399061203003
2,5.867328856658935,0.00955,5.819695439147949,0.0122,0.0025875868783861327,87.92099356651306
3,5.698012325286865,0.01335,5.602271011352539,0.016,0.00461344711965064,87.76357626914978
4,5.54319946975708,0.0197,5.449957550811767,0.0234,0.009031036074972786,87.0866060256958
5,5.375054640197754,0.02915,5.252921601867675,0.0412,0.020847084470438225,86.97578072547913
6,5.175820569610596,0.04125,5.060577035522461,0.053,0.031878930037367324,87.26232624053955
7,4.999307279205322,0.05295,4.960808653259277,0.0576,0.0361731359708054,86.66468453407288
8,4.835870518493652,0.0652,4.84157059173584,0.063,0.0383202339578532,91.18173217773438
9,4.684154301452637,0.08345,4.681510764312744,0.0838,0.05740772707441009,86.8649833202362
10,4.552000484466553,0.0956,4.5165902000427245,0.0976,0.07523196217801087,87.0838098526001
11,4.415425758743286,0.1089,4.457977914428711,0.1074,0.08234921729942829,87.14901065826416
12,4.306208490371704,0.1233,4.458582800292969,0.1114,0.08576946298897417,88.18964409828186
13,4.169728877258301,0.13755,4.2770905075073244,0.1336,0.10894227172633345,88.53531813621521
14,4.06233057975769,0.15365,4.171942337036133,0.1458,0.12394886804107211,86.76178193092346
15,3.9433865673065185,0.17235,4.131240283966064,0.1486,0.12444230421761114,85.8495523929596
16,3.831370359802246,0.18755,4.022902449035644,0.1654,0.14407599196258142,80.34018158912659
17,3.735682237625122,0.19875,3.9808986251831056,0.172,0.14597542261185698,76.23398566246033
18,3.640453277587891,0.2144,3.918109297180176,0.1782,0.15765227729894105,78.63069009780884
19,3.5485074333190916,0.2292,3.8561648818969725,0.193,0.17485338086823032,84.03363609313965
20,3.4650774772644044,0.24915,3.796033275985718,0.1994,0.17937279123849367,83.85473108291626
21,3.3716017402648926,0.2596,3.779617041015625,0.206,0.1848103470980971,83.77477312088013
22,3.2888790046691896,0.27185,3.707089097595215,0.2178,0.19471079155997706,85.34604501724243
23,3.2209191699981687,0.28645,3.656634243774414,0.2274,0.2089945632637345,84.03464531898499
24,3.1608905002593994,0.29685,3.6244470222473146,0.23,0.20979304120808126,84.56530237197876
25,3.096076642227173,0.313,3.600193604660034,0.2374,0.2171621263368291,83.35064744949341
26,3.0535371627807617,0.32435,3.5879519561767577,0.2402,0.2185455953305143,84.3020567893982
27,3.0126952098846433,0.32785,3.556535891342163,0.2366,0.2166095170648218,83.8821063041687
28,2.983092765426636,0.33565,3.5466759647369384,0.2418,0.2210195286108779,84.70093154907227
29,2.957119198989868,0.3409,3.5411561431884766,0.2444,0.2238870632461246,85.36270904541016
30,2.9506582359313964,0.3414,3.5424073806762695,0.243,0.22294361574693258,85.28883600234985
