epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,validation_macro_f1,epoch_seconds
1,6.187995558929443,0.00345,6.032183955383301,0.0092,0.0016923113705035245,69.02625107765198
2,5.8740106956481934,0.009,5.807121081542968,0.0114,0.0026177565549541366,59.225374937057495
3,5.679576222229004,0.01545,5.628209901428223,0.0174,0.00494079895172153,70.08101606369019
4,5.545536418914795,0.0191,5.45068349609375,0.0262,0.009932797415754617,69.83882880210876
5,5.362054061126709,0.02835,5.364902604675293,0.0318,0.016433223649858504,69.14769530296326
6,5.144517610168457,0.04105,5.270253135681152,0.0346,0.020703575279469356,68.7438805103302
7,4.955423763275147,0.05655,5.175012274169922,0.0474,0.027836906539162407,67.34492206573486
8,4.78485493850708,0.06655,5.179686705780029,0.058,0.037814193926874906,63.98546314239502
9,4.626969685363769,0.0819,4.736982511901855,0.0784,0.053611803585349636,60.681119441986084
10,4.498258695983886,0.0935,4.635148942565918,0.0886,0.06701013403228893,55.49564838409424
11,4.368108326721192,0.10835,4.825576530456543,0.0874,0.057802551171395954,54.97339940071106
12,4.266033357238769,0.12185,4.740158024597168,0.0882,0.06289724108010192,54.09981441497803
13,4.162128012084961,0.13495,4.5164456459045415,0.111,0.08537096924404909,54.00610327720642
14,4.090283959960938,0.1426,4.589817199707031,0.1044,0.07491039693859036,55.5234580039978
15,3.992937802505493,0.1545,4.575450506591797,0.1062,0.08201864536332229,72.97124910354614
16,3.9116951023101807,0.1666,4.638797072601318,0.1042,0.08068818018326271,68.63508534431458
17,3.8557685832977295,0.1761,4.404912287521363,0.1322,0.10205219012275282,65.06362175941467
18,3.795235208129883,0.18245,4.542903427124023,0.1096,0.08632118163877907,67.37097692489624
19,3.721474745941162,0.19525,4.420627346801758,0.121,0.10238179444996964,66.43841314315796
20,3.6584557914733886,0.2045,4.828694834136963,0.1056,0.08744976835993389,68.77741527557373
21,3.5955861686706543,0.21315,4.598112116241455,0.1258,0.10001195561228374,66.83198404312134
22,3.527297973251343,0.22205,4.4887133285522465,0.1284,0.10607586808847656,63.095656633377075
23,3.4577091175079344,0.2333,4.8238832458496095,0.1056,0.08719966174789572,57.274619340896606
24,3.3985807689666747,0.2422,4.609440106582642,0.1382,0.11706694492991337,66.39503121376038
25,3.3635959842681884,0.24695,4.754681158447266,0.1154,0.10118196803225155,59.61947703361511
26,3.3043671756744386,0.2612,4.6882360206604,0.1166,0.09699765785848101,56.757038593292236
27,3.2392501613616944,0.2681,4.749675608062744,0.1218,0.09810143608289532,54.49532747268677
28,3.198702854728699,0.2774,4.638101254272461,0.1262,0.112175140426893,68.52951073646545
29,3.133304357147217,0.28465,4.698299676513672,0.1264,0.10548058462832881,69.84548664093018
30,3.1195063903808595,0.2839,4.5994991355896,0.1304,0.11179602430241072,69.58483839035034
31,3.038132162284851,0.30285,4.754116766357422,0.125,0.10320954202065453,70.6983323097229
32,3.0076087156295777,0.30615,4.74357702255249,0.124,0.10690750880697024,71.29073071479797
33,2.977287203216553,0.31385,4.78904040222168,0.1162,0.10104875466838241,73.55646657943726
34,2.914151454544067,0.3216,4.583062689971924,0.1264,0.1088524826659806,72.36420226097107
35,2.880878938102722,0.33015,4.9484436950683595,0.1202,0.09963625658879754,71.41462278366089
36,2.837685453414917,0.3363,4.832016198730469,0.1256,0.1080078776689916,71.02686381340027
37,2.799972597312927,0.3458,4.875634063720703,0.1292,0.1104391711189655,71.72704291343689
38,2.760661605262756,0.3518,4.616714019012451,0.1362,0.11898553514719597,72.14662528038025
39,2.7363985977172853,0.3571,4.76606436920166,0.1328,0.11608991661225022,72.35395193099976
40,2.686417342376709,0.3642,5.02144694442749,0.1206,0.10407832400133975,67.17507219314575
