epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,validation_macro_f1,epoch_seconds
1,5.987687868499756,0.00825,5.711252600860596,0.0152,0.0032869816658023425,72.8648042678833
2,5.547900955200196,0.02135,5.418941720581055,0.0238,0.01218579980390513,52.92294645309448
3,5.241728433227539,0.0366,5.181034619140625,0.0454,0.025357293394180077,60.08050560951233
4,4.960015947723389,0.056,4.910247779846191,0.0604,0.03651386614667413,67.73461365699768
5,4.704303227615356,0.07425,4.6905660079956055,0.083,0.060742387972566494,68.84104013442993
6,4.4526690467834475,0.10465,4.542645947265625,0.0982,0.07767669753422649,63.6304349899292
7,4.209374077987671,0.1303,4.454894464111328,0.1026,0.08207294126970459,50.94205665588379
8,3.977486697769165,0.16005,4.439079330444336,0.1218,0.0945372209463012,51.60133337974548
9,3.7356696342468263,0.1932,4.204662991333008,0.1402,0.11821757893719753,60.68677473068237
10,3.5060751892089845,0.22585,4.110420859527588,0.16,0.1361299112894712,68.03835797309875
11,3.2342822105407714,0.26805,4.097690871429443,0.1724,0.1401705440187619,67.57755279541016
12,2.959210857772827,0.31515,4.147347032928467,0.163,0.14358355365947692,69.2558217048645
13,2.617905233001709,0.3799,4.720842747497558,0.1378,0.12434857304714791,68.76800179481506
14,2.24200122089386,0.4592,4.207316090393066,0.1714,0.155072710424282,68.72386455535889
15,1.781965804862976,0.57505,4.154851565551758,0.1786,0.16438255847459937,67.6460611820221
16,1.2691451274871826,0.71145,4.757499314880371,0.154,0.1508183759728747,66.4071249961853
17,0.7846353898525238,0.849,4.707344685363769,0.1728,0.1630049042460425,67.10057020187378
18,0.38906779944896697,0.9489,4.525664929962158,0.1848,0.18057894114626186,62.890629053115845
19,0.18002981400489806,0.98825,4.385529821014404,0.1932,0.1891227298337123,67.85555839538574
20,0.08976124627590179,0.9972,4.431300736999511,0.192,0.1912031743879294,67.12677931785583
21,0.05915607706904411,0.99915,4.363743710327149,0.1876,0.18746964020103907,70.50335717201233
22,0.04700504087805748,0.99965,4.3803184112548825,0.193,0.19220793825118423,70.03113961219788
23,0.040966377982497214,0.99975,4.3777950073242184,0.1918,0.18940552409771674,70.82751560211182
24,0.03660302147567272,1.0,4.360816614532471,0.1928,0.19224122118779124,70.82926964759827
25,0.03428853422105312,0.99995,4.389554055786133,0.1906,0.19056284171073268,71.0606336593628
26,0.03295012591779232,1.0,4.352111552429199,0.1956,0.19325721834533396,70.39528751373291
27,0.03236489561200142,1.0,4.366566004180908,0.1896,0.1872987871827588,69.7038106918335
28,0.03090016689002514,0.99995,4.375023469543457,0.1926,0.19020481705441944,69.27601718902588
29,0.030481492626667023,1.0,4.363725375366211,0.1902,0.18942015089653483,70.16611909866333
30,0.030489803931117058,1.0,4.369217493438721,0.1906,0.18850172027514775,69.76650524139404
